#node1	node2
O75586	Q9NX70
P84103	Q01081
P19525	Q9NX58
P60763	Q9UHY1
Q96S59	Q9H4A3
Q07157	Q8TF72
Q9UJX3	Q9UM11
A0JLT2	Q9Y2R4
P15923	Q13309
O94921	Q04917
Q92995	Q9BWH2
P60763	Q96BY6
P35626	Q8NGY1
P46527	Q09472
O76071	Q96T76
Q02763	Q6S5L8
P35568	P42345
Q8NBS9	Q96HE7
Q6UWE0	Q9UPY3
P62273	P62277
P32121	P47881
Q6PD62	Q9UHC6
Q8NDI1	Q9BY11
P25788	Q14164
Q13415	Q99741
P0C5Y9	P62875
Q8WWB3	Q9UJV3
O94916	Q96LZ3
P42681	P52735
P60953	Q9NRR8
P12931	P26012
P30154	Q06190
Q99962	Q9UPN7
P53778	Q9BQI3
O15350	O95155
Q13315	Q9Y383
O00221	P41252
P52198	Q53QZ3
P54646	Q15654
O43557	P36941
O14788	Q16560
O75419	P02768
O95741	P02766
Q14571	Q9UBN4
Q15773	Q96T76
P05362	P11215
Q14653	Q15796
O60739	P12532
O43251	Q9P2R6
P61587	Q8N1I0
P35398	Q09472
Q8N7H5	Q9GZS3
Q13554	Q14524
Q5T3J3	Q9H5I1
P30086	Q9UKS6
Q9UIA9	Q9Y2Q3
O60739	P25788
Q15628	Q9Y5S8
Q7L2J0	Q8IY92
Q12986	Q13247
B2RTY4	P60953
P02794	P61073
P42772	Q13887
P63279	Q9Y620
P61981	Q92764
P04083	P25090
P61289	Q7Z3B3
Q969J5	Q9P0W0
O14717	Q9BVJ6
P52564	Q9NZJ5
O15084	Q9UPN7
Q13362	Q13936
P52272	Q14683
O75475	P42574
O60674	Q15825
P24723	Q9H492
P54819	Q14164
P63104	Q8NDB2
O75689	Q05513
O00483	O15239
P24941	Q15843
P30679	P41594
P38484	Q13191
P62070	P84022
P21246	Q9NXU5
P05198	Q13347
O14640	Q9Y608
P60880	Q9C026
P06241	P43699
Q99665	Q9UBD9
O43261	P68104
O96013	P04049
O43791	O60496
P00519	P68366
P17152	Q9Y5J5
P61586	P63000
Q03112	Q92769
O95674	P54259
O15111	P19105
P01584	P35228
P22415	Q02880
51639	O00442
Q6STE5	Q96GM5
P62136	Q5C9Z4
Q96EX3	Q9NYJ8
P0C1H6	Q96QV6
O60231	Q13485
Q9NSB8	Q9UPX8
P68431	Q9Y468
P62330	Q12904
P02647	Q9Y6X4
P01889	P06753
P49238	Q07325
Q13748	Q14164
P63000	Q9H7D0
P56880	Q9Y5I7
Q96HR3	Q9NVC6
O14610	P48544
Q13555	Q9UQM7
P25787	P28066
Q96EY1	Q9Y5J5
P16220	Q7Z444
P17181	Q9NYY1
P15927	Q5RL73
O95863	P04637
P28223	Q13936
P19022	Q15256
P10070	Q13625
P49716	Q9NQ66
O14933	Q9HCM9
O14775	P20073
O95260	Q13315
P08588	P49407
Q15797	Q9UF11
P28340	P49005
P34931	Q13217
Q14738	Q7Z3S7
Q12905	Q15428
P49768	Q9UM47
O43504	Q05516
O14965	Q9Y297
P35580	Q96KM6
O60610	Q9UQB8
P46778	Q15843
P78332	Q13315
Q99459	Q9NRI5
Q09028	Q15022
O14757	P15927
Q00013	Q9Y2J4
Q9NZQ3	Q9UQB8
P06746	Q9UNE7
P61956	Q9H063
P11021	P19438
O43353	Q9HCE7
P46782	Q00653
P10586	Q9Y4H2
P06748	P26599
Q96HC4	Q9UBQ5
P04899	P07948
P35968	Q00722
P46527	Q92574
P16104	Q96L91
P49841	P53805
P61586	Q03135
P23458	Q06187
P19784	Q07021
P04183	Q7Z4K8
P01889	P29692
P0C0S5	Q13547
P34931	Q99836
P15170	P23508
Q13315	Q8NFD5
Q6ZSG1	Q9Y2X8
O14493	Q8N6F1
Q96DE5	Q9UJX2
O43707	P62736
O96019	Q9HAF1
P07203	P42684
O43295	P61587
P28562	P31152
Q08379	Q99996
Q13233	Q9Y243
P01574	Q9HBE5
P36894	Q7Z5Y6
P15170	Q9H361
Q8TB05	Q96G25
P36897	Q00534
P01242	P52333
Q02750	Q16659
P26006	Q9UQP3
P04183	P51693
P52333	Q14765
P52756	Q9UMS4
Q13573	Q14966
O43741	P42345
O60840	P30559
O75530	Q01094
P05198	Q16656
Q13158	Q8N488
Q13547	Q8TAQ5
P99999	Q9Y4K3
P31751	Q00653
P08727	P19012
P84095	Q9P107
Q13619	Q15843
Q16566	Q92793
P06401	P42338
O96013	Q9H4E5
P01889	P61106
O43524	P55273
P61289	Q15287
Q01094	Q96GD4
Q14451	Q9UMN6
P48039	P62879
P0CG48	Q9NYJ8
P12109	P17301
P12931	P13612
P35916	Q9GZV9
P11473	P60520
Q9Y230	Q9Y5K5
P15884	Q9UER7
Q14197	Q9Y305
P0C869	P28482
P13232	Q14627
Q13007	Q6UXL0
Q9Y2X8	Q9Y3C5
P05106	Q9BRC7
P01562	P40189
P15692	P35222
Q9NZH5	Q9UJX3
P28482	Q06546
P38405	Q8N127
O95069	P18146
P26373	P49207
P15882	Q9HBH0
Q6P1J9	Q99459
P53708	Q17RW2
O15151	P61981
P62888	Q92901
Q96Q05	Q9Y6K9
O60861	Q96IG2
Q07817	Q12983
P52948	Q9NRG9
Q15714	Q7Z699
Q6UY14	Q9UGJ1
Q15287	Q86V81
O14641	Q9UM47
O15239	O75251
P22612	Q05397
P13984	Q13315
Q07889	Q9Y5X1
P40337	P49720
P54253	Q8IWR1
P19876	P25024
P30793	Q16543
P67809	Q969S2
P27694	P49450
P16144	P62993
P17612	Q15653
O95163	Q99459
Q13485	Q14192
O95400	Q9Y5V3
P51693	P67870
P19012	Q5T5P2
P16144	P24043
O15145	Q15029
P61952	Q00722
Q96QR1	Q9HAW0
P42224	P42345
Q03111	Q9UHB7
P0DJD1	P61956
P46937	Q9H204
P62269	P62841
P10275	P35269
P04908	Q99879
P29597	Q6UXL0
P41182	Q9P2L0
O95218	P49407
P38398	Q8WXE1
P61513	P62829
P22626	P67809
P08581	Q9NQ66
P35268	P40337
P48643	Q14164
P25054	Q13418
P27361	Q9Y4K3
P84996	Q9UK08
O00329	O60674
O95476	P98175
P06241	P48023
P51610	P62807
P62875	Q9Y535
P22612	P63215
P43686	Q13573
P54274	Q96MF7
P62136	P62955
O95373	Q99459
Q13257	Q15013
Q15714	Q9H9B4
O43395	Q969Y2
P46109	Q9HB21
O94915	P31946
Q14157	Q6ZVL6
Q01844	Q96CB9
P61981	Q99550
P15172	P35398
O00716	P04198
P49454	Q9UM73
Q8WXH5	Q969J5
O43181	O43920
P51610	Q96ST3
Q9BYM8	Q9Y6K9
Q5VWQ8	Q9UBN6
P62249	P62266
P05141	Q13077
P15153	P98170
P08631	P40189
Q04917	Q9NPB6
P62987	Q29983
P08107	Q9H816
Q96B26	Q9NS23
P62487	Q9NWA0
Q13387	Q16658
P25445	Q9UER7
P35222	Q8IUQ4
O75746	P84022
P51114	Q9P2H0
Q13616	Q9H9Q2
P03915	P17568
O00401	Q9BY11
P21579	Q8NBJ4
P19876	P32302
P36956	P49327
Q9H4K1	Q9Y272
P35232	Q9UKV8
O95168	O95299
O43306	Q9P2W3
P16220	Q13315
O43187	Q9Y616
P08047	P17096
O43255	Q8IUQ4
Q13748	Q9UKG9
Q14315	Q9H4A3
P21673	Q9Y383
P30046	Q14164
Q13315	Q14643
P52597	Q14103
P51965	Q969V5
P31153	Q9GZN1
Q01130	Q05519
P26038	P30480
P04637	P08581
O60359	Q66LE6
O15479	Q93009
P19876	P51681
O43561	Q06124
P68104	Q16363
P56645	P63279
P08238	Q12933
Q16363	Q7L5N1
Q9NX02	Q9Y2G2
Q53ET0	Q5MIZ7
Q3ZCM7	Q9Y6G9
O43815	P30153
P25024	P32121
O15297	Q14683
P05013	P10912
P25025	Q15835
406906	Q9Y6R0
P17535	P35228
P62877	Q92466
Q01804	Q06455
P01106	P25787
P42126	Q14197
P31749	Q07352
P05556	P49023
P28347	P46937
P05129	Q8TAA9
P06756	P16144
O75925	P03372
P04899	P51828
P13612	Q13753
Q13191	Q92569
P35241	Q92574
Q15750	Q16643
O75486	P38398
P00450	Q16665
P40424	Q9H9S0
P25445	Q00653
P46779	P62829
P00734	P07225
Q15080	Q9Y5S8
P14316	Q03001
P40937	Q9Y3C7
O60674	Q99650
P09525	P55259
Q13616	Q92905
P63279	Q969V5
Q15714	Q86Y56
P28482	P30153
P13987	Q13485
P62745	Q96N67
P68032	Q59H18
P06400	P21675
P31749	P67809
Q99459	Q9BZD4
P12236	Q9Y277
P42574	Q15717
P38405	Q8NGL2
P23468	P40763
P10275	Q969G3
P23526	Q9Y4K3
P05814	P62993
O75554	Q8N684
O15145	Q92558
P08123	P08651
P62877	Q15369
Q76N89	Q9H469
Q13247	Q86V81
P45984	P63211
Q7Z3C6	Q9UHD2
P27694	Q8IW19
Q13330	Q8NHZ7
O14610	Q8WYR1
P46782	P62280
P04637	Q13625
P18065	P35222
Q6UXH1	Q9UBS4
P16452	P58062
O60716	P60763
P22607	P43234
O14788	O75448
P25791	Q02575
P46531	Q92542
P48443	Q96HR3
P07996	P31431
P04156	P06241
P22612	P40145
Q8IVF5	Q9HBH0
P08637	P29353
Q99459	Q9UBS0
Q09472	Q13569
P42766	Q9Y4K3
Q13145	Q9ULV1
P01889	Q9Y266
Q9NR55	Q9Y2D1
O00401	P60953
P22694	P32418
P56880	Q8N7P3
Q96PU8	Q9NX55
P32881	Q99665
P26196	Q96F86
O00212	Q5T5U3
P18146	Q96A47
P62241	P62851
Q00005	Q9NTJ3
P29992	P41594
P62140	Q92736
O14777	O75674
Q13191	Q99665
Q13188	Q9NRM7
Q02363	Q13432
P15056	Q16659
P40692	P54278
P01732	P01889
P48551	Q92793
P46459	Q16827
O75554	P42768
Q13616	Q9Y3I1
P09471	P61421
P20700	Q96RG2
P59998	Q8WUW1
Q13326	Q16586
P23560	Q15319
P62136	P63208
P52272	Q13247
P40145	Q16566
Q15459	Q9BXW4
P19793	P42575
Q00610	Q15628
P67870	Q15648
P30153	Q9H7D0
P00533	Q15303
O43900	Q9H2G2
O43707	P60709
P05106	Q15147
P01871	Q99856
P62487	Q6PD62
O60504	P24278
Q13573	Q92797
Q15365	Q9NR12
P08648	P21333
P56199	Q13753
Q13158	Q14790
Q13418	Q9NTJ3
P01023	P09038
P67775	Q08999
P30154	Q99759
Q13976	Q9UN42
O75674	P68363
P00533	P42336
O43395	Q8N5F7
Q9NTJ3	Q9Y5J5
P61812	Q04771
P61353	P62945
Q16531	Q9Y4K3
P08581	Q6S5L8
Q7Z2E3	Q9UID6
O95388	Q9NYU2
P11940	Q9UPQ9
O75376	P02794
P35609	Q8WWI1
P22626	Q14103
Q8WVX9	Q9Y2Q3
Q03060	Q68CJ9
P29350	P42702
P30307	Q9Y250
Q13114	Q96FW1
P14625	Q99459
P62745	Q8NF50
O95267	P0C869
O14654	Q04206
O60462	P54259
Q99832	Q9H0Y0
Q96D09	Q9NRI5
Q9NQT5	Q9Y2L1
P25963	Q15843
Q05655	Q13233
P41221	Q9UEF7
P10275	P27986
P08631	P20936
Q13547	Q86X95
P48643	Q9HCK5
P02786	Q15027
P13645	Q8TDR0
O43318	Q9ULM3
P22392	P68402
O75607	P19544
P62140	Q13698
O14976	P51959
P53350	Q7L5D6
P38405	Q8NGD3
P19438	Q9Y6K9
P57775	Q13616
P04899	P11229
Q13765	Q9UKY1
Q13409	Q9BQE3
O96017	Q12972
P35555	Q16270
Q92932	Q9NRR5
P41235	Q01740
Q93034	Q9NWX5
O14493	Q9Y5I7
Q00005	Q02413
Q15365	Q99684
P62424	Q9Y3U8
P24385	Q15717
Q9NZT1	Q9Y5V3
O75578	P60709
P52907	Q9Y478
P27708	Q9NYJ8
O94776	Q09028
P48556	Q9BRP4
P01308	P16234
Q08462	Q5JWF2
P84095	Q13464
P48736	Q07890
P05113	Q9HC73
P08476	Q04771
Q13261	Q969D9
P61077	Q9Y3C5
O60216	Q14683
Q496J9	Q9Y6N6
O14733	Q16584
Q06432	Q13555
P15153	P15498
P56545	Q6ZN30
P15509	Q86WN2
Q29RF7	Q9H8T0
P08069	P63104
Q13153	Q15797
Q13263	Q9C030
P62487	Q9BTT4
P43405	Q9BXN2
P18124	P61313
P10916	P60709
P46531	P98170
P49407	Q96J02
P02545	Q16512
P23526	P63104
O95166	Q00610
P62993	Q86SG6
P10275	P51948
P08631	Q6S5L8
P49841	Q9P1W9
Q96T76	Q99623
O60733	P05129
P61224	Q96FS4
P84996	Q9HBW0
O00716	Q99741
O76061	P55001
P41182	Q9UBV4
P52597	Q13315
Q15047	Q9Y3A3
Q8WYR1	Q9Y243
Q00653	Q13114
P35052	Q99075
P18124	P46777
P13807	P46976
Q8NBZ0	Q9H981
P27348	P55916
P82251	Q9UKV8
P18621	P62906
Q15287	Q8TEQ6
P17252	Q16236
P35442	Q05397
P47898	Q5JWF2
O14610	P51817
Q99459	Q9Y4W2
P30153	Q13033
P18146	Q13126
O15105	P35711
P34897	P62993
P19838	Q9Y239
P16104	Q13765
O00232	Q9Y5K5
P78527	Q13573
P06213	P40763
Q13255	Q9UQM7
Q12824	Q8NFD5
P18827	Q9UQP3
P54257	Q06732
Q9NWX5	Q9UBF6
O60383	P50453
O94761	Q9BRX5
O60936	P67870
Q05823	Q9Y6K5
P28482	Q01196
Q15019	Q92599
P01111	P19174
O15143	Q9BY76
Q15797	Q9HCU5
P09429	Q14457
O15259	Q7Z494
O15162	Q9P2R6
P61981	Q13427
P51398	P62993
P26715	Q06124
P63279	Q9UBT2
P10275	Q03135
Q92769	Q9UIS9
Q8NEB9	Q9UQM7
P04637	P23511
Q8IXH6	Q9H492
P29034	Q00987
P52333	Q8WXH5
P11274	P18031
P09651	P31942
O14757	O15111
Q02750	Q9P286
O43674	P03901
Q92793	Q9HCS4
P49682	Q9UBD3
O14904	P56704
P62888	P62945
Q05639	Q15628
Q86UW9	Q9Y2X8
P13631	Q15466
P62979	Q9NYB0
P12757	Q14789
P38936	Q68CP9
Q6P3X3	Q9Y5J5
O60934	P16104
P19387	Q9NWA0
Q13573	Q8TAQ2
O15264	Q15233
O60739	O75347
O00422	P54577
P18084	Q14031
O14717	Q7L5N1
Q13469	Q15306
O15525	P17544
P27986	P48357
O75971	Q92966
P16220	P67870
P09471	Q01668
Q9BPY3	Q9P2H0
P47712	P55210
O15397	P54253
P10147	P61073
P10914	P62979
P28482	Q9UP65
O43513	O60244
P35626	Q8NH72
P04637	P68400
P09471	Q8WYR1
Q9H9D4	Q9HAU5
P62993	Q16512
Q04917	Q8NHQ8
P10276	Q15466
P51668	Q86YT6
P62330	Q14203
P19174	Q08209
Q00653	Q9Y230
P05106	P13688
P14866	P67809
P12830	Q15475
P01889	P22309
P49368	Q9H7D0
Q07021	Q9BRL6
P32298	P41597
P52272	Q8TAP4
O14531	Q99962
A0AVK6	P24864
O95445	Q9NWK9
O15287	P06493
Q13794	Q96IK5
P42574	Q7Z434
P14678	P67870
P34931	Q92844
P35226	Q92993
Q9GZV5	Q9UKB1
P16520	Q99677
Q04637	Q9BZI7
P13805	Q16891
P32927	Q9NYY1
Q86U86	Q92925
P07814	P23508
P05387	P35222
P03901	P51970
P68431	Q12962
Q6AI08	Q92796
P45984	Q99956
Q96Q15	Q9Y2T4
P32121	Q13428
145781	B2RTY4
O60925	P56182
A5YKK6	Q9UFF9
O00329	P52333
P10809	Q9Y6K9
O00330	P11177
Q9H981	Q9H9F9
P15976	P17947
Q96CV9	Q9BTV5
P06870	P29622
P33240	Q9P2H0
P05452	P49841
O60331	P12830
P04637	P51959
P00533	Q07065
P35226	Q9HC52
P01243	Q01469
P22607	P42336
P31260	Q03164
O00410	Q12933
P09466	P51965
Q9Y243	Q9Y6K9
P29353	P46109
P30050	P46778
Q14683	Q2TAZ0
P38405	Q8NHA4
406886	P05231
P36873	Q13976
Q86XP3	Q9UMS4
Q8WWW0	Q9GZQ8
P08865	P18206
P35226	P78364
P22694	Q99941
P01566	Q99650
P62979	Q9BXM7
Q16539	Q16829
P52798	Q15375
P05198	Q9BQI3
Q13315	Q9UIS9
P32121	Q8NGK1
O75643	O94906
A0JLT2	Q9BUE0
P63211	Q92569
P20618	P49720
O43765	P46379
O00602	P48740
P78509	Q13797
O94817	Q16540
P08069	P20936
P55210	Q14203
P06899	Q96KK5
Q16659	Q92692
Q13017	Q92730
O75084	Q93097
Q9BS18	Q9UM11
Q13485	Q9BXP8
O60231	Q96DF8
P08700	Q99062
Q15788	Q9H1R2
Q15366	Q8IX12
O00750	P27986
Q5RL73	Q9NY59
P16298	P63098
P25024	P80162
O94817	Q9P031
P43364	Q9Y2S0
Q99594	Q9NQB0
P01350	P32239
O96014	Q13467
P78352	Q14160
P62136	Q4KMQ1
P29074	Q92993
P08069	P08754
Q96A08	Q9C005
P49841	Q15796
Q9NWS9	Q9UNY5
Q8WYR1	Q9HAV0
Q07021	Q5JVS0
P35268	P49207
P12111	P53708
P42694	P55854
Q8N612	Q9UI14
O00459	P13224
A8TX70	P17301
P11912	P15391
P13637	Q01415
Q12849	Q9UET6
P50148	Q9HBW0
P10600	P27540
P17612	P63104
O43684	Q9UKE5
A8TX70	P56199
O60729	Q9NYG5
P31947	Q14258
Q13094	Q92569
P63261	Q9NYJ8
O75970	O95471
P00519	P98164
Q14161	Q9Y4F1
O60293	Q15834
O15524	Q08881
P19438	Q9GZR1
P04183	Q9NPB8
Q16539	Q8NER1
Q9NS56	Q9Y2X8
P08172	P61952
Q13158	Q9H1Y0
Q14194	Q15714
P33240	Q99689
O43426	Q99963
Q8N392	Q99547
P57740	Q8N1F7
Q15796	Q9NRL2
P22626	Q13573
P24844	P61586
P49591	Q9UKE5
P22694	Q8NFM4
Q9HC29	Q9Y2G2
Q9UHY1	Q9Y3Q8
Q13155	Q15046
P41594	Q5JWF2
Q8IY81	Q9Y6K5
P52747	Q9Y333
P63104	Q14764
P46783	P62753
P42575	P62993
Q01344	Q9UBD9
P60763	Q5JSL3
O15264	Q12906
Q5VVX9	Q96K19
O43395	Q8WYA6
Q9H173	Q9Y4G8
Q9BRX2	Q9NVI1
O95467	P0C869
P08962	Q92574
P04908	Q93079
P23508	P36543
Q01094	Q96AV8
P51398	Q15788
P41091	Q9BY44
P26442	P61088
Q13153	Q14164
O00716	P40692
O15111	Q9NYJ8
Q12962	Q16531
P01574	P14316
P62714	Q96N67
Q8IYX0	Q99750
P26232	Q07157
Q06546	Q13309
P62834	Q8TEU7
Q14919	Q92956
P13805	Q99963
P05386	P62913
P61981	Q8NDZ2
P06241	Q8IZP0
O43772	Q96RY5
P61421	Q96GM5
P08107	Q9UNE7
Q15714	Q5T3J3
P18146	Q96QZ0
Q13509	Q13573
P45984	Q9UIA9
P52756	P61978
Q8NFZ5	Q9Y6K9
P30504	P49591
O75899	Q99963
P09471	P17252
P19174	P55157
P19838	Q9UDY8
Q15848	Q86V24
P11047	P16070
Q02750	Q9NQU5
P60953	Q8IWW6
Q08170	Q14683
P16104	P62875
P01241	P10912
P46977	Q8NCD3
P60763	Q9UNA1
P07602	Q3MII6
P14635	Q92574
O95169	P03905
P62195	Q9UBB9
Q07890	Q15628
P05013	Q00653
O95049	Q9Y5I7
P53350	Q17RY0
Q00653	Q8NFZ5
P51955	Q5FBB7
P23246	Q9NZC7
P24864	Q9UPP1
O15399	Q13936
Q66LE6	Q9UPR3
P37235	Q9NRX2
P38405	Q8NGG3
Q6DT37	Q9UHD2
P17181	Q9UKB1
P20929	Q07889
Q7L2E3	Q96C10
Q92765	Q9ULW2
P32302	P50148
O15550	P68431
P63261	Q9HBI1
Q9BQS8	Q9GZQ8
O00233	Q16401
P10828	P28482
P12814	Q15788
P04150	P05412
Q99469	Q9BU70
P62834	Q86WV1
P06241	Q15427
P42338	Q13733
Q09013	Q16637
P10828	Q96ST3
P06733	P0DI81
P00519	Q14247
O15516	Q49AN0
P40337	P43487
O75528	P38398
Q8IZD4	Q9HAU5
P23508	Q14160
P10721	Q9ULZ2
Q04917	Q96B36
Q8N5R6	Q96BR9
P16671	Q9UGJ0
P62310	Q969L4
P47914	P62424
O00238	Q9NYN1
P14923	P52565
P46776	P62910
Q16082	Q9Y5V3
Q96FE5	Q9BQ66
P05387	P26373
O43908	P10321
P62993	Q9NRF2
P63104	Q02878
Q8N4P2	Q9BPU9
P25929	Q9UBU3
P06241	Q03405
Q14164	Q15046
O14788	P53350
O14717	P58107
O15504	Q96HA1
O14807	P14324
P45983	Q13114
O14807	P21359
P62913	Q99558
O14933	O15344
Q06587	Q9BQ52
P35638	P49716
P10398	Q53G59
Q99459	Q9H267
P56199	Q13797
P0CG47	Q9Y572
Q86SE5	Q8TAP4
P22612	Q02846
P52597	Q9UKV8
P30154	P62955
P07947	Q15717
Q96JG8	Q9NQG6
P61019	Q8NEG0
P48544	P50151
P05000	Q9HBE5
P02462	Q05397
O94805	P51531
P24941	P51946
P08581	Q92835
O43318	Q86VZ6
P01571	P08887
P03901	Q86Y39
P00519	Q9Y3S1
P27986	P60484
P35813	Q9H6Z4
O60381	Q15797
Q99759	Q9ULX6
P42229	Q99490
O43353	P60709
P49840	Q13224
P62330	Q00341
Q01105	Q9NSU2
Q01658	Q96ES7
Q96PY6	Q99689
Q86YP4	Q99459
O75896	Q562F6
Q92830	Q9H8E8
P23511	P24522
O75508	O95471
P01138	P22455
P49286	P63211
Q12974	Q8NE01
P01137	Q14103
Q96ER3	Q9Y5J5
P20338	Q96T51
Q92831	Q9Y4A5
P55854	Q99666
P28482	Q9Y4K3
Q5UE93	Q9C040
Q12824	Q92925
P17612	P48436
P16333	Q9UQ26
P05771	P10721
P62993	Q92747
Q6ZVL6	Q9UNL2
O60341	P02708
P38405	Q9H207
Q14765	Q15306
O43491	P21728
P13688	P49023
P35348	P50148
O00329	P16234
Q01081	Q8IWZ8
O75461	Q00765
Q9C0J8	Q9NZC7
P20340	Q01968
A6NEW6	O76070
P12036	P41219
Q8NCM8	Q96AH8
406948	P24385
O75461	P99999
P39023	P62910
P01116	Q8WWW0
P19086	Q86XP0
P15918	P52294
Q08170	Q15366
P04222	Q9Y266
P23246	Q13535
P49336	Q9Y4A5
P05230	P17948
P46734	Q16539
P14373	Q9H832
P12643	Q8TEU8
P18146	P84243
P35580	Q01449
P78371	Q66LE6
P63215	Q92569
P49915	Q99459
O60739	P30084
Q13617	Q92796
P23743	Q15796
P23527	Q7L7L0
Q9UHF1	Q9Y4K0
P35228	Q99836
O43679	Q13363
P31947	Q14153
P17948	P42224
Q06432	Q9UQM7
Q14457	Q9P0N9
Q14653	Q9BYM8
406884	P01112
Q15319	Q92858
Q6QNY1	Q9Y3D7
O14777	Q9BZD4
P13591	P32004
P53803	Q9H1D9
P11234	Q16512
O14543	P40238
P08238	Q99759
P61981	Q15843
Q96QV1	Q99759
P23458	Q14765
P01584	P07911
O75116	P28482
P51970	Q9Y6M9
Q09472	Q92831
P01116	Q9Y4G8
P04637	P19447
O14593	Q92769
P18084	Q9UQP3
P07358	P10643
O00299	P01889
O75578	P07996
O75461	O95067
Q16531	Q9H211
Q16537	Q9UM73
O43707	P56199
O60925	Q9BT40
Q13698	Q969Q6
O43182	Q92730
406968	O75461
P01112	P10398
P08648	Q9Y6N6
O95084	Q8NB37
P25445	P62158
Q9BV68	Q9Y4K3
P52566	P61960
P06756	Q9Y5C1
406906	Q15759
P18848	P51817
P18564	Q13683
Q07889	Q96B97
P35659	Q99877
Q8IUE6	Q9BY41
P19875	P58012
O75528	Q8N2W9
O15117	P06241
O60237	P24844
P18621	Q07020
O95980	P04626
O14641	Q96H20
P09234	Q8N302
O00206	Q99836
O14610	Q9UBS5
Q13535	Q9UQ84
406883	P01112
P22415	P36873
P51828	P63211
O95166	O95210
P05556	P12111
P01903	P04233
P63165	Q16778
O00459	Q9H400
P17844	P62330
P06400	P35869
O75582	Q96BA8
O00459	P19320
Q9NYY8	Q9Y4K3
P07910	Q08170
P52597	Q09161
P05129	Q8TD31
P63173	Q92901
Q9Y243	Q9Y2T4
P36402	Q9H6I2
Q13188	Q8WWW0
P63104	Q86W92
P63208	Q8IUQ4
P40238	Q8IZI9
O15131	P43155
P35813	Q92997
O00623	P40855
P67870	Q9Y4Z0
P51668	Q9ULK6
P30511	P43628
O75937	P51991
P08754	P48549
Q99928	Q9NQX3
P01567	Q14653
P01903	P01911
P48050	Q9HAP6
O43242	Q13200
P07384	Q9GZM7
P31689	Q9NYJ8
P13861	P31947
P01589	Q9UBD9
P07954	P40926
P23560	Q99523
Q9H0H5	Q9H8V3
Q15075	Q7Z3T8
Q8TEW0	Q9NQS3
O15265	Q8NEM7
P62316	Q9UHI6
Q15834	Q9HB75
Q15139	Q9H492
P11021	Q00653
P03901	P03905
P04899	Q9BXC0
P04406	Q09472
P04000	Q9Y3B3
Q9UKM9	Q9UQ90
Q14197	Q9Y4W6
P35968	P46934
P10275	P17936
P62258	Q9Y572
P82932	Q5UIP0
Q92859	Q9HB63
P25208	P25774
Q02045	Q32MK0
P06493	Q17RY0
O60895	Q5JWF2
Q8TEW0	Q9NQ66
P27816	Q96L34
P58876	Q96QV6
P01350	P02787
P0C0S5	Q8IYW5
P32248	Q9Y258
Q96AQ9	Q96EY1
O95747	Q13315
P13569	Q9UHB6
P63165	P83916
Q14185	Q9H2G2
P14550	Q9H1I8
P33176	P42263
O95467	Q8TDV5
Q53ET0	Q68CJ9
O15371	O75822
P37275	P56545
P18621	P46776
Q13315	Q9UPP5
Q9BZX2	Q9HC98
P21281	P39656
O75807	Q16539
P57735	Q8N465
Q7Z3S7	Q9Y2T4
Q92900	Q96CS7
Q07812	Q16539
Q15834	Q92530
O00206	O60602
P42773	Q04724
P11387	P14866
Q14653	Q9Y3R0
P00519	Q9Y697
P00519	Q6ZUJ8
O60343	Q6N021
P31785	Q8IZI9
P22694	Q9Y478
Q04206	Q9NPF7
P22314	Q13275
P51812	Q15121
P07954	Q14164
P27986	Q96RL7
P27482	Q13554
O15264	P53539
O15264	P42166
P55854	Q8WWM7
Q9UBN6	Q9Y4L1
P30793	Q9ULW5
Q15323	Q9Y2H1
P47992	P51677
P50750	Q9HAW4
P13637	Q96EB6
P46100	Q14240
P51668	Q8TDB6
Q9BVJ7	Q9NYL9
P46108	P78345
P12004	P20585
Q13114	Q86WV6
P32246	P34947
P62906	Q9UKV8
P56537	P63244
P39019	P62081
P14618	Q92597
Q71UI9	Q8N257
P37231	Q9Y6Q9
P17301	P60709
P51965	Q99942
O43353	P34931
P06239	Q8WYR1
P10588	Q15777
P42695	Q6IBW4
P18847	P84022
O75815	P18754
P04899	P14598
O00422	Q9H993
O95139	O95168
Q92769	Q9UBU8
P49674	Q8NFZ8
O75506	Q9BSB4
Q15906	Q9GZN1
O15198	Q16537
406908	P04150
Q9BV47	Q9UNF1
Q8IXK0	Q9BUB7
P09619	P15692
P63208	Q00653
Q13145	Q13467
P04899	Q01970
O15371	Q8WV24
Q7L4I2	Q9NRR5
Q13535	Q92733
P16104	P47897
P35626	Q9UGF5
Q13794	Q9HD36
P58876	Q15291
Q14161	Q9Y2X7
P08047	Q15545
Q02363	Q92858
P30939	P63215
O75469	P28702
P24394	Q9NPH9
P13010	Q14191
Q9UI95	Q9UJX5
P12004	Q9HCU8
P07951	P68032
O95257	P38936
Q8IU54	Q969J5
P61956	Q12873
O15533	O75626
P26992	P62993
P46778	P62906
O15524	P08069
O14733	P41279
Q99759	Q9UBK9
406882	Q92945
P06899	Q9UQL6
P05026	P51817
P23511	Q04743
P62304	Q9Y4Y9
O43464	Q13489
P68366	Q96CW5
Q9Y3A3	Q9Y4G8
P52434	Q6PD62
P63000	Q53QZ3
O14490	Q9UPX8
P08238	Q6WCQ1
Q92905	Q99759
P35626	Q8NG75
P80303	Q9Y6D5
O43318	O95999
O75746	Q9BUV8
P25445	Q5UIP0
P62899	P83881
P45983	Q16829
