#node1	node2
O95197	Q8N612
Q07890	Q9UJF2
O75663	P60510
O94806	P61224
P12814	Q15942
Q8N612	Q9UI14
P41159	Q13651
O95405	P84022
P06241	P11836
P27348	P30304
P51681	P56282
P01023	P09038
P20929	Q9Y6J8
O60832	O95372
O00187	P0C0L4
407041	P04637
P35637	Q14683
Q96GG9	Q9Y3C5
P18074	P43351
Q969H0	Q99466
Q16659	Q8NAF0
Q9BUA6	Q9P2M7
O95257	P26641
Q13467	Q15147
O43586	P47914
Q13555	Q9P212
O95167	P03901
P14625	Q9UBN7
P46783	Q07021
P33778	Q9BY41
P01889	P05141
O00422	Q86V81
P00533	P01133
Q96DC7	Q9UMX0
P16220	Q9HCP0
Q14738	Q7Z3S7
P10914	P19320
Q58A45	Q9H361
Q09013	Q13526
O75369	P63000
P46937	Q9UJU2
Q99613	Q9UBQ5
P62873	Q13153
O95503	Q14781
P21283	Q96G23
O60231	Q13485
P12830	P40227
Q15020	Q9UKV8
O75508	Q07157
P10275	P18074
P23396	P62701
O75438	O95178
Q15750	Q8WUK0
O15360	P46108
P14780	P19875
Q13547	Q9UJW3
O00182	P01023
P14672	Q15027
O60674	P08887
P43243	Q9UKV8
P25098	P41597
P60903	Q15047
P49286	P53621
P06241	Q9Y2J2
P63261	Q9UKX5
P62993	Q15427
P23921	P30480
P14136	Q9UGJ1
Q92985	Q99836
P24278	Q9BQD3
Q14432	Q9UQM7
P08670	Q99759
P46379	Q9NRR5
P0CG48	P25963
P35268	P39023
A6NKT7	P63279
P20671	Q9UQL6
P48736	Q9UBI6
P53567	Q16534
Q15303	Q9H4P4
P23508	P51812
O00487	Q99460
P05060	P27448
P51692	Q9UGK3
A0AVK6	Q96AV8
P20333	Q96EY1
Q96GG9	Q9HCM9
P04908	Q9BY41
P33151	Q8TEW0
Q13093	Q13315
Q05086	Q9H9A7
P31749	Q96B36
P10636	P63104
P40429	P62945
P05129	Q13009
Q14137	Q8IZL8
Q9UQB8	Q9Y566
Q14134	Q9BZW7
P01225	P16473
Q9NVH6	Q9NX70
O43294	Q9NRR5
Q15276	Q9UJY4
P04637	Q86TM6
Q06187	Q9Y6K9
P46776	Q02543
P10721	Q92569
Q12933	Q9UDY8
Q13352	Q9P2H0
Q96J02	Q9Y5X1
P51685	Q9NRJ3
P05106	Q06124
P84996	Q7RTX0
P04626	Q13671
P01266	P98164
P38936	P98177
P81605	Q00987
P07948	Q14511
O75044	Q9H4E5
P16298	P16885
P23528	Q9NXV2
O75674	Q96A33
P40818	Q9UQN3
O95619	Q96Q83
P0CG47	P27986
P62633	Q8TCT6
P01023	Q16637
P10721	P52803
P43686	Q969Y2
P27635	Q9Y3U8
P04406	P37840
P33151	P35221
P00533	P51636
P17844	P51531
P51668	Q86Y01
P31785	P42224
P33992	Q14209
O60674	P06241
P10914	Q9ULK4
P18077	P18621
P54284	P63151
P10144	Q07820
P01903	P16220
P78504	Q9H488
P31751	Q15653
Q4V326	Q96IK5
P04637	Q92831
P78537	Q01658
Q99523	Q9UJY4
P49662	Q9NTJ3
Q96SB8	Q9NXX6
Q15477	Q9UQ88
P15018	P15509
P62875	Q9P0M6
P00533	Q99963
P24941	Q53HC9
P12931	Q03135
P01106	P22736
O60391	P78352
O95997	P25054
P31943	Q14683
Q7Z406	Q96A32
P41220	Q15942
P01570	P26951
O43395	P54727
P30307	P36873
P32121	Q8NGJ8
P06703	P50995
O95059	Q969H6
O95433	Q9Y5I1
Q92979	Q96DW6
P01106	P53611
O60641	Q9BYC9
P06241	Q9H1R2
P62837	Q9UPQ4
P10415	P31749
Q13368	Q8NC60
Q99062	Q9NPH9
O95049	Q16625
Q12986	Q13243
P36897	P37023
Q71SY5	Q9NPJ6
O60941	P11532
P01574	P32927
P20290	Q9Y4K3
O43541	Q9HAU4
O14964	Q13596
P84022	Q9H0M0
P28300	Q86SQ9
P63211	Q9UBY5
Q8N6Y0	Q96CN9
Q6P158	Q9NX58
P01112	P27482
Q07889	Q9UKS6
P12429	Q13432
O14604	P60709
P57059	Q53ET0
P05231	P42701
P31689	Q99459
P62140	Q6UN15
P08138	Q92915
P56703	Q6FHJ7
P21246	Q8N2W9
P0CG48	P67809
P40337	Q9UI30
O94979	Q13535
Q06546	Q09472
P27361	Q15262
Q8N6Y0	Q9UPT5
P59768	Q13698
P08754	P35462
P63218	Q9Y272
Q15024	Q9Y2L1
P19525	P53778
P27361	Q13464
O00483	O95168
Q15047	Q15102
Q13616	Q5VYV7
P38936	Q13263
Q13643	Q8HWS3
P61586	Q96A32
P11308	Q15910
O15085	P06241
P25942	P42224
Q969U6	Q99750
P04150	P06241
P30679	P32238
P53805	Q13164
Q07866	Q9UPT6
Q8WUM4	Q9H7P6
P19012	Q14533
P03372	P49716
P15622	Q96BR9
O15524	Q99650
Q13418	Q9UBB4
P05013	Q13651
P11047	P55268
O15455	O95863
P04183	Q6IE81
Q9UKE5	Q9Y3F4
P01243	Q7L2H7
P35626	Q8NGI6
Q06330	Q13547
P13500	Q9NPB9
O15239	Q969Q1
P33991	P78396
P17947	P41182
O43395	Q15365
P62328	Q13432
A8K6C2	P32927
P18859	P24539
P40189	P41159
P12755	Q13485
P62913	Q9UL18
P00492	Q92956
P62256	Q9NTX7
P01222	Q9UBR4
P56524	Q7L7L0
Q86V59	Q8ND90
O75365	P61619
O95500	Q8N6F1
Q16637	Q9H840
P16333	P78368
P10809	Q9UL18
Q8NBZ0	Q96EZ8
P01579	P08887
P11226	P26022
P04632	P20936
P33993	Q9NSU2
O60902	P23511
P40337	Q9BRA2
P31749	Q5S007
P27635	Q02878
P14174	Q13418
P52597	Q9NWB1
P19235	P29353
P27694	P38398
P11831	Q9ULH7
P34998	P63092
P38936	Q12824
P40337	Q02543
Q99750	Q9H9D4
P50402	Q9BZK7
P58876	Q9P0M6
P06454	Q14974
P63279	Q9BUZ4
Q96KG7	Q9H0H5
Q8NF50	Q96L33
O60220	Q16186
Q01780	Q14160
P27348	Q9NZT1
O43187	O75643
O75530	Q16531
P04637	P31152
Q99962	Q9NYF0
P02751	P26010
Q01196	Q14192
P57087	Q05655
O14508	Q13651
P04629	P23560
P42336	Q9Y243
O75915	P43005
A5PL33	P49840
P22460	Q13424
O60216	Q29RF7
P05198	Q9P2K8
P23258	P42858
O94927	Q9NRH1
P29350	Q14626
P08134	Q68EM7
Q9NRL2	Q9UIG0
P13612	Q9UKX5
Q5VZM2	Q9HB90
Q06710	Q92911
Q15436	Q92597
P00519	P26992
P47870	Q9NQX3
Q14566	Q7L590
P49736	P78527
Q01082	Q9BY11
26765	Q09472
O43504	Q96AW1
P38936	P61978
O15498	Q9UNK0
O96014	Q9H237
O14495	P06756
O00221	P61289
P58876	P78545
Q13617	Q7Z7L7
P01106	P18075
O43809	P54253
P22087	Q9UBC5
P53778	Q9HBY0
P36578	P61513
Q08170	Q92620
Q99459	Q9H4M9
P26641	Q9HAU4
O00175	P61073
Q12933	Q96CV9
O75925	P52630
P62277	P62993
O94906	O95400
P62269	Q13573
Q8ND25	Q969T4
O00222	P50151
P49642	P51532
P40692	Q9UHC1
P07858	Q6UY14
P38398	P42229
P09619	Q13596
Q9BTA9	Q9NRR5
P38936	Q9H324
P49760	Q13535
Q12840	Q8TDR0
Q16659	Q16828
406991	Q86VQ1
Q96IX5	Q9BUV8
Q15008	Q5VTR2
Q14240	Q9Y262
Q15208	Q9Y2U5
Q13705	Q15796
P0C0S5	P21817
Q13555	Q92793
Q01844	Q14289
Q13315	Q14566
P55854	Q09472
O43294	P84022
O94986	Q9Y2J2
P49006	Q13561
O96028	Q13315
P57678	Q8TEQ6
A4D0S4	P23229
P18848	Q13554
P61978	P63279
P08138	Q9NQ66
O43295	P61586
Q96H20	Q9GZT8
P51668	Q8TDB6
P33992	Q92794
P51948	Q00534
P16333	Q9HCM9
P51003	Q04864
P22607	Q9GZV9
P21860	P52333
O60506	P62633
Q9BWF2	Q9H2G2
O14686	Q9BRQ0
P14136	Q96GD4
P38646	Q04206
P08670	Q9HD26
P05771	P10301
P11171	P24941
O94817	Q9Y3D9
P22090	P62280
A8MTJ3	Q9NYV7
O75038	P14314
O76081	Q9Y230
P63104	Q14980
P84103	Q07021
P17482	P21673
O14978	Q9UMX1
O96008	Q9NS69
Q14118	Q9Y6N6
P55072	Q15418
P25116	Q03113
P38405	Q8NGY3
P46531	Q9Y6K9
P16885	Q9NP31
P06241	P40763
P49368	Q99759
O15131	P04040
P62979	Q8IVH8
Q8WXS5	Q969Q6
P08887	Q9NPH9
P54727	Q92466
O00329	P01106
P11309	P42224
P54753	Q15768
O95831	Q8NC60
P32881	Q5VWK5
P15104	Q6WCQ1
Q12791	Q13698
P24941	Q9Y5Z7
P62837	Q96GF1
P03897	P03915
P30480	Q15008
O95400	P14678
P56545	Q03112
P23508	Q9H9B4
P01889	P15121
O75581	P56706
P07339	P10147
P26012	Q9Y490
Q96EE3	Q99567
P62258	Q92628
P26368	Q8N7W2
P07550	P12931
Q13315	Q8WZ42
P01241	P62280
406906	P51608
A6NHG9	P35626
A6NJZ3	P38405
Q13158	Q9NPH3
Q9HC52	Q9UPN9
P42166	P62258
P54289	Q13554
Q16777	Q99877
Q53RT3	Q8IY92
Q13698	Q16537
P62760	Q86UW9
Q99689	Q9NRN5
Q99459	Q9NYF8
P13232	Q8IU57
Q14457	Q9P0N9
P07996	P15692
P02768	Q7Z333
P50150	P53778
Q04724	Q13620
P04156	P08047
P32969	P46777
Q99459	Q9UNM6
O60282	P49841
Q53TQ3	Q9H9F9
P10275	Q04864
P49768	Q14118
Q8TBB1	Q96CG3
O00305	Q66LE6
P01579	P05412
O43491	Q9UDY2
Q13573	Q9BZK7
Q15572	Q16514
P35626	Q8NG75
P06729	Q9Y5K6
O60353	Q92997
O60641	Q9Y6K9
Q15052	Q99963
P34897	Q9UBN6
P19419	P62380
P61586	Q02156
Q15714	Q8NEZ4
Q13200	Q99460
P39019	P46781
O43719	P13984
P19634	P51817
O15162	Q05516
Q04917	Q8N5S9
P17252	P62070
P04156	Q06481
P11802	P35606
P61981	Q8N9M5
O15105	Q15797
O43513	O60244
O95433	Q9NPY3
407026	O75494
O14757	P04637
O95786	Q9HC29
P51948	Q13888
P08708	P62847
P05783	Q2TAY7
P10070	Q9Y6M4
P98164	Q96QZ7
P68371	Q71U36
P06756	P08572
P10415	Q07820
P01106	Q92854
Q01101	Q13368
Q8IYT8	Q8NEB9
P08173	P62873
P49721	Q9BQ83
Q01968	Q13636
O00161	P32856
Q12873	Q15424
Q14653	Q9HCK8
P01111	Q8WWW0
2310	P38936
P54259	Q8IUQ4
Q9C026	Q9NV70
Q07889	Q8NF50
Q00722	Q02763
O43586	P31939
P09382	P78347
Q13315	Q15257
P29762	Q05516
P35269	Q9GZU7
O00255	P35244
P17948	P52797
Q8IVH8	Q99962
P01137	Q14766
P41182	Q9Y2A4
P10275	Q15181
P54259	Q86TM6
Q13952	Q8IUH5
P01871	P35527
O60359	P62136
Q02241	Q04917
406904	Q92945
P13747	Q14952
406887	P52926
P07948	Q6S5L8
Q96A65	Q99459
O95243	P67870
Q8NFD5	Q9UJX2
P62745	Q7Z5H3
O15305	O60684
P01344	Q6UXH1
Q05513	Q13164
Q53HC5	Q9NRR5
P50453	Q14194
P29460	Q00653
P00533	Q13322
O15056	P00519
P42766	Q96HU1
P41252	Q00653
O00221	P27708
P62258	Q6R327
O14610	P63092
P13232	Q01344
P37231	Q96B36
O95467	Q01718
O14965	Q9NS23
P05112	Q9HC73
O75800	Q9NX47
P51681	Q9BTT4
P99999	Q9Y277
O94817	P18146
P33991	Q8WYB5
P06746	P18887
Q16611	Q8IVG9
Q02930	Q16566
P53350	Q9BQ83
O43741	Q86TI0
P29320	P52798
P14923	P18146
P19474	Q13616
P37231	Q15848
O60566	Q9Y6B7
P01106	P50749
P20333	P55060
P20671	P33778
P49286	P62873
P42684	P46109
Q8NEK8	Q9BQY4
P19174	P30556
P47898	P63211
P23511	P30307
P16220	Q15007
Q8NFT6	Q9BQ66
O60762	O94777
Q9H981	Q9Y265
O60296	P28472
P14770	P40197
Q13573	Q13813
P02746	P26022
P50406	P63092
O75800	Q9ULT6
P78362	Q07955
P62316	Q08495
P39023	Q14164
P50750	Q7L2E3
P01106	Q92664
Q15172	Q92736
P05026	P32418
O00238	Q96D21
P40337	P42766
P19525	Q99848
P30153	Q9NUC0
P62701	P62841
O75113	Q96J02
P51686	P55774
O60885	Q9BPX7
P14416	Q96SB3
P17813	P37023
P14672	P63279
O00329	P43405
P19532	P26640
P56747	P56748
O15068	Q13155
Q9H8Y8	Q9HCM4
P62993	Q16695
P00451	P00740
P04424	Q9H1D9
Q8NI08	Q9H0R8
P03901	Q9Y6M9
Q9NZC7	Q9P2I0
Q99459	Q9H1A4
O95182	P03891
P12757	Q9UNY4
P33991	P53350
P09769	Q92529
A0JLT2	Q9H1A4
P62750	Q9NRG4
A0JLT2	Q9UBN7
O75145	Q13136
P16220	P30533
Q14738	Q9UPR3
P04222	Q9Y266
P31749	Q96IZ0
P16104	Q15554
Q96GD4	Q99459
P46777	Q15714
P35222	Q99569
Q86WZ6	Q9UK32
O43809	P84090
P40189	Q8WXH5
P46108	P49023
O14640	Q9UM47
P20226	Q12857
P20718	P42574
O00231	Q9UL46
P33991	P62805
P30530	Q96S59
P50402	Q12965
P00519	Q9UN86
P03372	P29474
Q13315	Q9UQR0
O43491	P63104
O75694	Q96EE3
Q13523	Q9Y2Y9
O43889	P22694
P38432	Q58EX7
P10244	P62877
O15297	Q13535
O75762	Q9NQC7
P38398	Q01094
P04259	Q00005
P00167	P99999
P60228	Q13573
P07942	Q13625
P54257	Q9NZM5
O15350	Q9H3D4
Q969T4	Q969V5
P24468	Q9BQ87
406937	P04637
P45973	Q13263
Q04206	Q07020
P0CG48	P60953
O60237	Q13976
P62877	Q9NXK8
P01563	Q14653
Q13177	Q9UNM6
P63279	Q9UBT2
P29459	Q14626
A6NEW6	O76070
O96020	P30260
Q15173	Q8WXS5
P01106	Q9BXB5
P62910	Q02878
P60900	Q9UNM6
P40818	Q9BZP3
P01100	P53778
406961	Q9UQ03
Q93062	Q99504
P01569	P40238
P01106	Q96BY6
Q8WUF5	Q9H3D4
O75376	P41182
P78406	Q9NRG9
Q5VWK5	Q9GZX6
P05067	P50148
P09919	Q13261
P49916	Q96FI4
O00311	Q9Y5N6
O75365	Q9UIA9
Q5QNW6	Q9UQL6
O94916	P07900
P00533	P36542
Q96M95	Q9Y3Q8
P35225	Q5VWK5
P48023	Q96RF0
P01876	Q9NY47
P06493	Q13526
P13637	P27361
O75533	Q9UL18
P61077	Q9BY78
Q0VG06	Q9BXW9
P04792	Q15029
O15144	Q8WYL5
P14598	Q9HBY0
Q8N357	Q9NPH0
P35442	P61812
P05062	Q8IWZ6
P07766	Q12929
P54646	Q7RTN6
O00329	P05556
P41440	Q02447
P12081	P62195
P51955	Q8N137
P11473	P28702
P52735	Q8NFC6
P63261	Q9UPY6
P17676	P53778
P40763	Q8TAE8
P08754	P53779
Q00987	Q92993
A8MTJ3	P59544
P63215	Q92806
Q06323	Q92979
O43913	P33991
P29590	Q08999
Q86TJ2	Q9Y4A5
P30480	Q06210
Q9BWU1	Q9UHV7
O00212	Q13017
P32121	Q96RD0
P61981	Q9NQG6
P17066	P53779
Q15345	Q93062
P05386	P46459
Q13315	Q13526
P05556	P25391
Q96SZ6	Q9NQT5
Q13573	Q14764
O43293	P62993
P29459	Q01344
A7KAX9	Q96KG7
Q8NF50	Q9HBH0
P26358	Q15910
P49841	Q9NRG4
P10721	Q92529
P01106	Q13488
P01106	Q05516
O14640	Q155Q3
P18146	Q9UMX9
P22681	Q9Y5K6
P40424	Q13526
Q13127	Q9UKB1
O43741	Q16822
P62136	Q99759
P08047	Q13105
P36954	P52435
Q53TQ3	Q96EZ8
Q13485	Q9NWN3
P11831	Q8N196
P05388	P47914
P48443	Q96HR3
P01106	Q07864
P04183	P13196
Q10586	Q93009
O75446	Q9UK53
P32121	Q8NGX6
P61081	Q9Y4K3
P08581	P12034
P09651	P31943
P28482	Q13501
Q07960	Q7L0Q8
P60520	Q00005
P19086	Q68DD2
Q14790	Q9UKL3
Q14194	Q9Y2M5
P31947	Q12788
P62258	Q9Y230
P28288	P40855
Q9H9Y6	Q9NYV6
O15264	Q04206
P00533	P10412
P20618	Q14164
P17301	P35442
Q5TCQ9	Q8TEU7
P05783	P52735
P78527	Q99459
P30480	Q9P0L0
Q66K89	Q8N448
P25787	P28065
P60484	Q86UL8
Q92569	Q9Y383
O60941	Q9BUH8
O14775	P38936
P16220	P31249
Q15544	Q16514
O75167	P16333
Q99650	Q9ULV8
O95931	Q06587
O75190	P01106
Q5VTB9	Q96B02
P19012	Q7Z3B3
O00329	P23443
Q13387	Q8NCA9
Q96IT1	Q9NWS9
P01571	P31785
P51946	Q9HB71
P22392	Q9Y333
Q12851	Q13162
P01116	P53779
P22681	P24394
P17252	P49023
Q6UY14	Q9HB63
P22670	Q13485
P12318	Q8NHJ6
O14777	O43264
P42566	P52594
Q13557	Q14573
P53779	P62879
Q06265	Q9NQT5
Q8N392	Q9HBH0
Q9UBC3	Q9UJW3
P46527	Q13131
Q12996	Q16630
P22455	Q9Y4K3
P19438	Q05655
407051	P19838
P0C0S8	P23527
P05388	Q8WYK2
O15335	P08648
P31785	Q13261
P30279	P55273
P16144	Q92569
Q12873	Q14839
P30291	P31946
P10451	P23229
Q15005	Q9NY93
P50995	Q99459
P01579	P15336
O43707	Q9UQM7
P04792	P63104
P38405	Q8NGS0
P18146	Q00534
O75533	P63162
P35658	P84022
P63104	Q7L576
P19438	P50591
P19525	P20248
O00716	P28749
O94806	Q9ULK5
Q8N163	Q9HC98
P20226	Q04206
P01871	Q9NRR5
P17252	Q15257
P53350	Q9BZF3
Q5UIP0	Q9NX09
P38646	Q7Z6M2
P28702	Q9NPJ6
Q15257	Q16589
P11172	P36957
P02458	Q13683
P29460	Q99062
P07948	P09086
Q9BWU1	Q9NPJ6
P27348	P55196
Q9GZS1	Q9UH99
P20337	P62158
P18621	P50914
Q13098	Q99627
C9JDP6	P57739
O43318	P62158
P01023	Q15583
Q07869	Q96A54
Q01844	Q06187
P12980	P35453
P49336	Q9BTT4
P15248	P26992
P31749	Q9Y5P8
Q15365	Q8WVV9
P12109	P16070
O43597	Q8IW50
P06681	P0C0L4
O94817	O95352
O95751	O95990
P36578	P62829
O14640	P62879
Q13043	Q9H4B6
P61244	Q16665
Q05209	Q99717
P04222	Q14697
Q12962	Q15543
P16591	Q8IZP0
P20248	Q8WXE1
P07910	Q9UKA9
406991	O95980
Q9H9F9	Q9Y265
P14778	Q86XR7
P50151	Q15759
P28072	Q9Y244
P10275	P35269
P62888	P83881
Q6ZU52	Q9P2A4
P16234	Q9NR46
P41279	Q04864
P61981	Q9UJF2
O75694	Q13573
Q15714	Q8N1F7
O43541	Q15750
P10301	P42336
P24534	P60709
P17081	Q7Z5H3
P15248	Q6UXL0
P63000	Q07157
O95714	Q9UJU6
O15455	P10914
P04637	P07900
P61077	P62330
P21860	P43403
P52943	Q16637
P22626	Q9NRH1
Q8N2H9	Q99558
P22492	P49841
P51817	Q08828
P83916	Q13185
P42345	Q9BPZ7
P09874	P18887
P51665	Q5VTR2
P35968	Q9Y371
P06400	Q14188
P16444	Q96EK5
P05015	P17181
O60825	Q9Y478
Q16659	Q9NQX6
O75578	Q07890
P04899	Q16539
406890	Q92945
P27986	Q9Y6X6
O60359	Q9Y5P8
P01106	Q14683
P32121	Q8NGU2
P50151	Q13698
Q7Z4H7	Q9H6D7
P54619	Q9H9S4
O43294	Q01959
A8MT69	Q8N2Z9
O14733	Q9NZJ5
P25942	P29965
O43915	P06213
O00459	P61224
O14904	O75197
P25791	Q15038
P49321	P62330
P36956	P63279
P56880	Q9Y5I7
O14936	Q9P202
O76071	Q16795
P40925	Q13368
P53004	Q02750
P11712	P41235
P62304	Q99459
P08754	P30874
P63208	Q9NXK8
P21741	P22735
P43355	Q13547
O00212	Q7Z6B7
Q04724	Q04725
P51668	Q9NZQ3
P62424	Q92900
P14780	P19878
O00401	Q99828
P22234	P23508
Q02763	Q92729
O95257	P14635
P62244	P62280
P68036	Q9Y478
P08238	Q9Y6X8
Q16659	Q8WUK0
P35658	P49790
O00329	Q13094
P04183	P19793
Q00169	Q15014
O60880	Q96DU3
P28482	Q9BY84
Q9H0R8	Q9NRD5
P45985	Q13158
P00533	P27986
P60763	Q9ULL4
O00221	Q9Y230
P62258	Q9Y3M2
Q13233	Q96EY1
P0CJ70	P25090
P51398	P99999
P51693	P67870
O43399	Q96J77
O75400	Q9Y6D5
O00555	O60262
O75376	Q05516
O95551	P15036
Q13247	Q16629
P26951	P29460
P05198	Q16656
O00716	O15392
Q13573	Q9H9A6
Q9P258	Q9Y4K3
P35225	Q13261
P01137	P55103
P30281	Q08999
Q5JWF2	Q96PN6
Q16891	Q9H7E9
Q9P2H0	Q9Y6I3
P49674	Q9ULU4
Q05397	Q8IZC6
P19838	Q15233
O14653	O15155
P62136	Q9HCH5
Q8N5A5	Q92769
P14618	P49407
P51685	P78556
P38405	Q8NGT0
O15111	P07900
O43684	Q8N5F7
P34913	Q9UFN0
Q13247	Q8IWZ8
Q13573	Q92769
P56704	Q6FHJ7
P63146	Q6ZT12
O14561	O95178
P62306	Q13233
P07202	Q99062
O94979	Q15436
P04264	P12830
P05014	P31785
P13010	Q8WXE1
O00222	O60262
P15018	P48357
O43524	P03372
P38405	P50406
Q93098	Q96HF1
P52333	Q9NSE2
P13725	Q969J5
P15407	P20809
P06241	P35612
P15090	P60709
Q2NL82	Q96BK5
P45983	Q03468
Q9UJX2	Q9UJX5
P30153	Q9NWZ3
Q02156	Q13976
P26992	Q9NYY1
O00463	Q16584
P03372	P31751
O75581	P98082
O75891	Q8NEV4
P49917	Q8IW19
Q96BY9	Q9H4K1
O75478	P61964
P62993	Q8TB24
P01106	Q15329
Q2I0M4	Q9NRG4
P54253	Q8WW36
Q12873	Q9UHX1
P05067	Q92542
P22392	P68402
O60674	P46094
P29353	Q12929
P50914	Q92901
Q14192	Q7Z589
Q01668	Q9Y5P8
Q00839	Q9Y6K9
P36873	Q16816
P19174	Q8TB24
P24394	P60568
O95819	Q8IZL8
P61077	Q6UVK1
P40937	P40938
P32121	Q8NG75
P30480	P63167
P52272	Q01081
P00519	Q8NFP9
P24864	P51948
Q15843	Q96LD8
P19876	P49238
P30559	P62955
P49841	Q8TDZ2
P15735	P22694
Q9H8S9	Q9Y2H1
P08648	P46109
P05412	P48507
P01243	P11586
Q13153	Q9H1Y0
P14415	Q13237
P13725	Q01113
P62330	Q13347
P46108	P51813
P23470	P42680
P09848	P12931
Q12905	Q92878
Q7Z6Z7	Q99459
P05787	P20333
Q14596	Q9H0R8
Q13797	Q9HBI0
O60232	O60496
Q9GZT5	Q9H461
P01023	Q92890
P22681	Q8IZP0
Q13123	Q13315
P14625	Q00613
O94985	Q92547
P01567	Q08334
P40692	P54132
P48551	Q9UMW8
Q13601	Q9H171
P15260	P38484
P84022	Q15599
Q9NVP2	Q9UKI8
O15438	P08047
Q96B02	Q96PU4
Q68EM7	Q7L0Q8
Q15788	Q92922
Q96L34	Q9UL42
Q5SXM2	Q99459
P28749	P78549
P38432	Q5JVS0
O75899	P08908
O00168	Q13733
P38405	Q8NH56
P13569	Q6UVK1
O00212	Q9Y3M8
P60981	Q96BK5
Q16543	Q9NRG4
P17676	P45452
P25942	Q13077
Q13188	Q8N878
O15524	P10914
P30622	Q13535
P14866	P38159
Q92624	Q92824
P01579	P24394
Q13315	Q96MG8
P02656	P02768
P54132	Q00597
P35222	Q13308
Q86UP2	Q9HAU0
O75694	P78406
O15264	Q92734
P26992	Q8WXH5
Q96RG2	Q9NRA8
Q13153	Q92730
Q96PV6	Q9Y3Y4
Q8TCU6	Q8WYR1
P14317	Q96HL8
Q00987	Q7LG56
O14746	P07900
P28065	Q9Y244
P60891	P62258
O14763	Q13568
P06239	P16070
O00482	O60869
Q96EE3	Q9NRG9
O15169	Q9NRG4
Q5RKV6	Q7L5N1
P04637	Q8N2W9
P09661	P11387
P02771	P98170
O15355	Q8IY92
P05015	P48357
P02647	P04053
P22004	P49716
P29459	P48551
P08134	Q9NZN5
P25940	P53708
O15169	Q8N4C6
P18146	Q9Y4R7
P00519	P28340
P35626	Q8NGS6
P34931	Q99836
P55854	Q8WWM7
P27987	P61289
O95685	Q9UD71
P28482	Q13362
P01106	Q9UNQ2
P63000	Q96Q42
P35244	Q9Y4K3
P01375	P55957
O43795	Q15714
Q04206	Q6P5Z2
P04004	P08514
Q15435	Q96SB3
P52198	Q14CB8
O60244	Q9BWU1
P04899	Q86YR5
P36402	Q13308
P31749	Q16875
P02647	Q9C000
P62269	P62273
Q71DI3	Q9HC52
P17813	P18075
P28562	Q12906
P35609	P60900
Q07890	Q53QZ3
P22090	P23396
P57088	Q9UL18
Q969T4	Q99942
P30307	P63104
P28482	Q8WU20
P27986	Q05655
P15336	P15408
P38405	P58181
P02775	P46094
O14640	Q9HC62
P12931	P15036
P46092	Q9Y4X3
P06493	P19793
Q9NVC6	Q9UHV7
P01570	P23458
P42766	Q96BK5
P32302	P55773
Q16891	Q9P2H0
P31943	Q08211
P05015	P23458
O95409	P78527
P11802	P20073
P60510	Q14164
P01106	P62191
Q06413	Q12968
Q14240	Q1KMD3
Q01081	Q13151
P62826	Q92973
O75112	Q16630
P19525	Q9NX58
O15258	P54257
P18146	Q9BUN5
P41743	P67775
O95786	P10914
P18146	Q9HCG7
P06400	Q13547
P25445	P48023
Q15853	Q9NZT1
P08648	P26006
P32121	Q8NGG4
406991	O75695
Q12778	Q9UQM7
P38159	P55795
O43597	Q9BQ66
Q00839	Q12986
P48058	Q14957
Q8N8V2	Q9BX70
O00764	Q9Y478
Q8TEP8	Q969T4
P18124	Q04206
P59768	Q14833
P19838	Q01094
P14678	P62306
P05771	Q06187
P32121	Q13428
P61353	Q9HCK5
P05937	Q9H1D0
P55957	Q92851
Q16671	Q6KF10
P35222	P37173
Q92769	Q9UBB5
P52306	P61586
O95257	P24522
P83916	Q9UER7
P18077	P61353
O14508	P42701
P27361	Q16665
P46531	P49768
P68133	Q9Y265
P19838	P34931
P17301	Q96P44
P38646	Q00005
Q5T013	Q8IYF3
O00548	Q9NZ42
P35249	Q9HCU8
P12268	Q9UKE5
P31785	P40225
P51812	Q9HBU1
Q14164	Q9H2G2
O76071	Q86Y56
P07437	Q9NYJ8
P18085	Q9HCK5
P26368	Q8IZL8
O43556	Q13326
P26006	Q13797
O00712	Q14938
P12956	Q15102
P35626	Q8NGP8
P68431	Q8WXX5
P48039	P63215
P06748	Q9Y4K3
P53708	Q9Y490
P05129	Q9UK08
Q14315	Q9UKX5
P48426	P63000
P16220	P25774
Q13546	Q13748
O76064	P62837
O94811	P37840
Q969Q1	Q9UBK9
P61586	Q9UKW4
O60814	Q9P0U4
Q8IVF5	Q8IXI1
Q08170	Q15366
P61289	Q9BUL8
P35626	Q8NGD5
P62258	Q05086
P13945	P63096
Q9UGJ1	Q9Y6D9
P09429	Q07021
O95793	P15880
P04637	P24522
O75886	Q99816
P30504	Q13526
P08253	P53420
Q6ZU52	Q96EV8
P16401	Q86U86
P05388	Q9UNX3
P04745	Q96BK5
P52735	Q13009
O14920	Q99759
P04439	P26717
Q12778	Q969Q1
P06730	Q13283
P56524	Q16777
P32121	Q96R48
P04899	Q9HAV0
Q03164	Q9Y5Z7
Q96D09	Q9P2H0
P62745	Q8N392
P50552	Q13573
P05161	P10914
Q06330	Q96T58
P02751	P35555
P14415	P51817
Q8N5U6	Q9Y2X8
O60684	P32320
O60229	Q9GZM8
P41182	Q15399
P49682	Q14847
P04637	Q03701
Q00005	Q02641
