#node1	node2
P09237	Q9HCS4
O43390	Q14683
P02452	P05106
Q14012	Q8TD86
O43524	Q08999
P15391	P27986
P30153	Q13573
O43707	P16144
P29692	Q9H1I8
P08107	Q15831
P04439	P43630
P01112	Q8WYR1
P06493	Q9H2G2
P30480	Q12931
P04085	P22455
O43741	Q96A54
Q96JK9	Q9UM47
P27797	Q03518
Q7L0Q8	Q9Y3M8
P14618	P61224
P51587	P54725
P61586	Q9Y623
P52564	P63000
Q10570	Q9NZC7
P35222	Q9BRK4
A8K6C2	Q13261
P01566	P52333
P0CG48	P62987
Q70YC4	Q9NXR1
P62136	Q5SWA1
O14920	Q8TEL6
P16220	P47712
O95298	O96000
Q13573	Q9NYV4
O75909	Q9Y3Q8
P49796	P52799
P52756	Q14103
P43657	Q9UK08
P18621	P61313
Q9NVU0	Q9Y535
P19532	Q5ST30
O00401	O75400
P00749	P05120
P41250	Q14164
Q13608	Q7Z412
P62805	Q9C086
Q8WUM4	Q9H444
P16520	P62879
P61981	Q92934
Q05086	Q92731
O76062	P10114
Q15834	Q9H257
P0C0S8	P63104
Q00610	Q9Y478
P41235	Q04721
P42568	Q9UHB7
O14579	Q9UBF2
P10914	Q01658
Q13432	Q9UN74
O14965	Q7Z5Q1
P51116	Q96F07
P51809	Q9UNK0
Q8IU57	Q8IZI9
Q13315	Q9UGU0
Q14669	Q9NYQ7
P16333	P48023
P18564	P35609
P62241	Q15843
Q969F0	Q96D59
P0C0S5	Q08945
P02786	Q15027
P08631	Q9UQC2
P61247	Q9BV94
574457	Q9UBE8
O95084	Q8NB37
P19878	Q92793
P04150	Q99816
O00206	Q8IUC6
Q96EK5	Q9Y2Q3
P13232	P24394
P40429	P49207
P25205	Q9Y4K3
P17252	P46527
CDKR1	Q16620
P62424	P62945
P13521	Q9NRR5
P62879	Q14832
P26651	Q8IU60
P28072	Q14164
O43921	P07333
P15336	Q13555
O00401	O60331
P08729	P13987
P78527	Q9BUB5
P19235	Q16827
P00533	P05141
P61086	Q14164
P15153	Q05513
Q01344	Q13432
O14978	Q8WV44
P16520	Q01668
Q14684	Q9NX58
P15923	Q15672
P15170	Q13075
Q76N89	Q93009
O14519	O76071
O60925	Q9Y3C7
O14950	Q7Z406
P25963	P51116
P45983	Q8NER1
P07910	Q07955
P62805	P68400
P28221	Q9UBI6
P30153	Q9UBS0
Q14207	Q14209
P63279	P78317
P09544	Q9ULW2
P67870	Q8TB40
P49662	Q14203
P08138	Q99819
P22612	Q16539
P19875	P32302
O15467	P32246
P30046	P40337
P62258	Q13111
Q13315	Q99575
P30939	P50151
P22681	Q16665
Q13315	Q8TF76
P01106	Q92621
O75051	P06241
P20827	P35968
P08754	P51677
P15036	Q99684
O15551	Q96B33
P32969	P63173
Q05481	Q9GZM8
P68431	Q96L73
O60603	Q13885
P19388	Q6PD62
P50402	Q99962
O75369	P45985
P39748	Q96AY2
P52333	Q9ULV8
P29459	Q14653
Q14194	Q9BXM7
O14936	Q12929
O60477	Q9BUV8
P00451	P07225
O00212	P98171
P15924	Q01201
P05062	Q13621
O00220	Q13158
P51828	P62158
P29350	Q8IU57
P12111	Q13797
O14561	O95139
O14639	O95751
P55209	Q14164
P16871	Q9BUF5
O14529	Q13547
P42224	Q92985
O14508	P26951
P00519	Q9NQ76
P19838	Q16539
Q08050	Q96GD4
O14641	Q96B18
O43677	O95139
P52198	Q5JSL3
O14641	Q2TBC4
Q8IYD1	Q9H361
Q14332	Q9Y6F9
P56199	Q92752
P16471	Q99490
Q6AI08	Q92796
O00574	Q92583
P61088	Q9NS56
O95251	P06746
P10914	Q9BTT4
O95376	Q9BVJ6
P05000	Q99650
Q9H293	Q9NRR5
Q86UE8	Q9NVP2
P04628	Q02962
P10828	P42336
Q5TA45	Q99750
P24723	Q16236
O15371	Q13315
O75396	Q12981
P27361	Q70SY1
Q15797	Q96NW4
O15379	Q99623
P13498	P35228
O15527	Q13952
O60296	P18505
P28482	P51812
O14562	P0CG48
P46939	Q13884
P37288	P50148
P06241	Q96B97
P29353	P49137
P98164	Q5JY77
Q13112	Q92831
P11362	Q15464
P61981	Q9NYF5
P29350	Q8NHJ6
P50613	Q9BWU1
Q9H2X6	Q9UBE8
P05771	Q06710
P22301	P40424
P84243	Q9H160
P25963	Q13748
P08069	Q9NRA1
P55196	P68032
O15304	P98170
A7MCY6	Q9UKV8
P17544	P49715
O60739	Q09028
P01011	P08311
P68366	Q92974
P08069	Q9HCE7
P40763	Q99459
Q14296	Q99750
P04049	Q9NRD5
Q9GZR7	Q9NQ34
Q14789	Q9UEU0
P19793	Q96F24
P22612	Q13972
P54257	Q96SN8
O14561	O95169
P35626	Q8NGY2
P32239	P50148
P18887	P27695
P53621	Q9UKV8
O00459	P05019
P31749	P53778
Q13554	Q14432
P14672	P61106
Q12962	Q9UPT9
P47914	P63173
P22612	Q9UNY4
Q5SRE5	Q9UKX7
A0JLT2	O00472
P0CG47	Q01201
O60921	P63104
O43295	P48023
O15116	Q16637
P30876	Q6P1J9
P17252	P63261
O15198	Q92610
P27635	P62891
O95622	Q16566
O76031	Q14197
P46019	Q6ZSY5
P52198	Q9Y3M8
Q9HCK4	Q9NRR5
Q86XK2	Q8TBC4
P49674	Q9GZV5
P15391	P40259
P08754	P12931
Q6ZNA4	Q96LR5
Q16531	Q8NHY2
P07948	P32519
P05107	Q92905
P0C5Z0	P56524
P30480	P63173
O60508	P07910
P30154	P41743
P16333	Q9H8V3
P09619	P29350
P02794	P61073
O95751	P25786
P23458	Q8NEB9
P13569	P98082
Q13573	Q9BWF3
Q96FF9	Q9UQE7
P01112	Q9Y4G8
P16471	P40933
P38405	Q8N127
P34998	P63096
O95835	Q96IF1
P16333	P52757
P12643	Q14689
P12643	Q9H2X0
P09471	P0C869
P42224	Q9NR97
P31152	Q13480
P56705	Q9H461
P26951	Q05516
O95429	P08107
Q13490	Q9Y3I1
O95169	P17568
P01241	P49591
O60861	Q7L576
O60840	P22694
P09619	P42338
Q14240	Q15056
P09619	P12931
P35968	Q92915
P20908	Q9HCN6
P13805	Q13595
O43463	Q13547
P33527	Q86WV6
P06241	P15391
P28908	P32971
P05000	Q8N6P7
P27701	Q9NYJ8
O60262	P28221
P41594	Q05586
O43318	O43541
P07437	Q13748
P01106	Q9H4L7
P07333	P49715
O14543	P38484
P38398	P40763
Q3KQU3	Q96AW1
Q09472	Q13555
O75461	P20248
P62807	Q96KK5
P62263	Q70Z53
Q15173	Q96Q15
407013	P36896
P07550	P49407
P27635	P49768
Q5VZP5	Q9Y4K3
P10909	P62993
P04150	P12544
O00459	P09471
P01111	Q9HC35
O14757	Q06609
P29508	Q15853
P21802	P22681
Q08462	Q9UBI6
P60660	Q99759
P60953	Q52LW3
Q9GZV5	Q9Y297
Q15326	Q15750
A6ND36	Q15796
O75643	Q13573
P48556	Q06323
P30511	P43627
Q00722	Q9UK08
Q9H160	Q9HCU9
P13987	P58107
Q8IXM3	Q969Q1
O94910	P25054
P26006	Q17RW2
P30154	P53041
P49917	Q9H9Q4
P09544	Q8N474
P60520	Q9Y4P1
P25490	P46531
Q13114	Q96CV9
P19404	Q16795
Q7L2J0	Q8IY92
P62805	Q6IE81
Q08999	Q16254
P42224	Q9Y2T4
P38159	Q5VWX1
Q9HAU4	Q9UJX4
P63104	Q5PRF9
P63027	Q16623
Q6FI13	Q96DB2
A8MTJ3	P59537
Q13573	Q14103
P09619	P20936
O75445	Q9HBM0
P99999	Q16611
O75528	Q9BRR6
P08246	P49913
O14933	Q6UVK1
O60716	P12830
P01130	P98082
P49715	Q01094
Q04695	Q2TAY7
P08514	P26010
O75940	P14678
P16403	P27348
P25067	P27658
P26951	Q9NPF7
P63279	Q9H307
P10909	P35222
P25025	Q16663
P06241	Q12947
Q15375	Q8N5V2
Q05397	Q9NQX6
O15519	P14174
Q9Y2X8	Q9Y4L5
O43913	Q9Y5N6
O00635	Q02556
O15111	Q9ULZ3
P62314	Q01081
P61981	Q9Y2U5
Q03135	Q05193
O15198	Q8N3P4
Q13416	Q13573
Q15759	Q9P2K8
O95347	Q9Y6K9
O95243	Q69YH5
O00217	O43678
P60880	Q9C026
O43747	P56377
Q15714	Q9UMN6
O95696	Q92794
P29590	P42771
O43889	P18146
O75400	Q9BUJ2
Q9Y376	Q9Y478
O95613	Q9NRI5
P55196	P62834
P53350	Q7L590
O00418	P06493
O96015	Q5TD97
P05106	P12109
O75084	P09544
Q08050	Q92793
P18848	P49715
P58876	Q71UI9
P04350	Q13233
P01111	P05771
P62241	P62847
P98177	Q15831
P62993	P78329
O00175	P32302
P33176	P49840
P35968	Q96PU5
P16035	P47914
P04637	Q03013
574033	Q8WY64
P39023	P63173
P18146	P37173
P01243	P35998
O43674	O95139
Q8NFH3	Q8NFH5
P35568	Q05513
P22736	Q9HCE6
P09471	Q08462
P46777	P63104
O43281	O95433
P28070	Q9Y244
O95817	Q8TCX1
Q01085	Q92945
P09543	Q9Y4K3
P06400	Q96SB3
O60925	Q9P2H0
Q04206	Q8N668
P20042	Q99613
P48736	Q13114
P61289	Q99460
O00483	P03891
P62304	Q16637
O43295	P15153
O00471	Q8IYI6
P51693	Q9BVJ6
Q14244	Q99459
P04626	Q05209
Q05209	Q9NXF1
Q13438	Q96KM6
P50453	P68104
Q04724	Q9H0Q3
P23471	P49023
Q14201	Q9UFF9
O15360	Q9UBZ9
P04085	P16234
Q8IY92	Q9Y3D3
Q9NVI1	Q9Y5V3
O43617	Q9UL33
Q14749	Q9H8W4
P62140	Q70SY1
P07996	P26006
P56645	Q99743
Q9H2G2	Q9UBS5
407008	P49715
O15514	P52435
Q13242	Q96SB4
O00585	P51685
P41597	P51671
P33240	P46379
O75369	Q9UKX5
Q8NFJ9	Q9UPT5
O60674	O75886
O43427	Q9Y6B7
O14788	Q9NYL9
P01243	P09960
P04049	P27348
P35916	P42336
Q9NPB6	Q9Y2Z0
Q13685	Q8IXH7
P0CG47	P11142
P45983	Q02750
O14641	Q13145
P20333	P41182
Q99967	Q9UBR4
P35659	P62805
P05362	P15311
O14757	O15297
P08151	Q9HCP0
P07948	P12318
P62424	Q9UL18
Q13315	Q15361
P27986	Q8IZD9
P47898	P50151
P04626	P05019
P16520	Q13972
O00217	O95139
P13807	P54646
P01241	Q01105
P17947	Q14246
Q6VMQ6	Q9Y383
P31947	Q00839
P46108	Q9Y5I1
P04637	Q15181
Q03431	Q04917
P52429	Q01105
O00716	Q96GM5
P19793	P49841
P09913	Q05516
O75937	P67809
P22626	P60709
P01138	P08138
P58107	Q00653
Q00610	Q04206
O15530	Q12824
P14598	P14780
O15524	P15260
O95057	Q9HAU5
P46695	Q15173
P25942	Q99417
Q15078	Q15788
O95267	P01116
O14777	Q9BZD4
Q13153	Q9Y2U5
Q8NEB9	Q9Y243
P11142	P14625
P67870	Q9UNN5
P17612	P54284
Q15819	Q9Y4K3
P08581	Q92529
P68431	Q9BY66
Q08499	Q9UQM7
Q8IY92	Q9BQ83
Q9P258	Q9UKE5
P35606	P41220
P32246	Q99731
P15880	P62269
Q15843	Q9H1Y0
P38432	Q96KG9
P25398	P62249
Q13885	Q96AH8
P14672	Q00610
O60502	P54257
O76071	Q96JQ0
P30480	P43307
P08107	P11387
Q8NBZ0	Q9C086
Q16543	Q99873
Q02363	Q13432
P59998	Q8IXH7
P07332	Q16555
P32242	Q93062
P55072	Q9P2S5
Q14192	Q9Y2G2
P30559	P50148
P18077	P62906
P43250	P51681
O15111	Q04759
P17028	Q9UKR5
P14616	P48736
P01106	Q9UPT9
O00585	P32302
P04275	P05556
P06213	P36507
Q8NFP9	Q9NWF9
P08670	Q96C92
P29350	Q9UKJ0
O15145	Q86YJ6
O00459	P01133
P35637	Q13243
P33778	Q96KK5
Q15561	Q15834
O43809	P29372
P61587	Q53QZ3
O14908	P98164
P40227	Q15796
Q9HCK4	Q9Y6N7
Q02878	Q13352
P50539	Q6XUX3
P25025	Q99616
P61328	Q02763
Q93045	Q96PX6
O75800	Q15819
Q15628	Q99558
P52272	P84103
406952	Q12852
O15047	P06899
P41159	Q9HC73
P29317	Q15389
P00734	P03951
P62158	Q15750
P51817	Q13698
P20809	Q13651
O15162	Q96RN5
Q13162	Q8NHM5
P46782	P62269
P22681	P38484
P36956	P49327
O43924	P36404
P54289	Q06190
P32121	P62330
P21860	Q63HR2
A6NMZ7	P26006
P01579	P61289
P63215	Q9NQ66
P35637	Q05519
O15304	P42684
P10415	Q14209
Q14164	Q15836
P14415	P22612
P38405	Q8NG92
P47897	Q9Y3C5
P17542	P17947
P63010	Q9H0H5
P19838	P80188
P22694	P48051
O95997	Q9UM13
P61587	Q9P286
P52272	Q9BUJ2
P36896	Q13596
Q9NRM7	Q9UGP4
P23025	Q9HAW4
O95336	Q01844
P08887	Q13007
P52756	Q16629
P21731	P30679
O14686	Q01201
P00533	P15514
Q9NR33	Q9NS73
P43405	Q92569
P04083	P51668
P03372	Q12824
P23229	P78509
P10144	P46531
P18754	Q9Y4K3
P63208	Q9UKT5
Q08334	Q9NPF7
P08588	Q13424
P07947	P46527
O00257	Q71DI3
P03372	Q96GM5
P63208	Q14999
P05112	Q5VWK5
Q9GZN1	Q9Y3F4
P37231	P51608
P38405	Q6IF36
P19388	Q9NX70
P05388	P61927
P18848	Q15418
P32248	Q9H2A7
Q01064	Q9NZT1
P08670	Q5RL73
Q13751	Q13797
O00459	P29353
P78368	Q13330
P22307	Q15067
Q00839	Q01081
Q6UXN9	Q9Y5Z7
O15504	Q8NFH3
P01111	Q04206
Q01726	Q8TCY5
Q9BPX5	Q9P1U1
P07948	P42680
P01889	P04080
Q99459	Q9UKL0
Q13177	Q3V6T2
Q9UKK9	Q9Y4K3
P62312	Q9Y333
P08754	P46092
Q13485	Q9HC98
P22392	P58107
P0C0S8	Q99880
O75586	Q99798
P08700	P31785
P25940	Q9HCN6
P49841	Q70SY1
P01303	P54619
P01106	P49792
P56645	Q9Y297
O75689	P41743
Q8N1F8	Q8NHQ1
P59998	Q9Y6W5
P35520	Q8IV36
P12644	P50458
P28070	Q14164
P84101	Q99750
Q01970	Q9H461
A0JLT2	P62875
P19525	Q9UJU6
P01889	Q9ULC4
P55211	Q05513
O60739	P04406
P04183	Q8WVS4
P08123	P26010
P08107	Q99933
P12111	P13612
P33316	Q07869
P08588	P63092
O14640	P21579
P25963	Q15628
O14512	P42702
P05129	P28907
A6NIT4	P26951
Q13573	Q6KC79
O43913	Q9BXI2
P60709	P61601
P43320	P53673
P27361	P54709
P30443	P43631
P13349	Q02363
O15504	Q03518
P02545	Q05513
O60667	Q92851
P82650	Q9UL18
P22033	Q14197
Q6DKK2	Q86YV9
P26367	P55316
Q8WVZ9	Q9H0R8
P17947	P43119
P53805	Q08209
P31689	Q92956
P32121	Q8NGK2
100008587	P52434
P68104	Q8WYK2
P0CG48	Q99808
P06756	Q16787
O14641	Q9BQY4
Q9HAU4	Q9NZU5
P20618	Q99436
Q01668	Q16558
Q96IZ7	Q9BVJ6
P25490	Q9ULG1
Q96DU9	Q96EP5
A7E2Y1	P63261
O00401	Q15811
O14593	Q96EY7
Q00526	Q13573
O00238	Q9NYS0
O96017	P04637
Q96JN2	Q9NRR5
P02786	P18206
P05067	Q13443
P20333	P27708
P04637	P57723
P05114	P68400
P63104	Q00537
Q06124	Q15303
P21860	P35222
P51116	Q8N5R6
O75461	P12004
P06493	Q8NE35
O94972	Q9Y4K3
P38484	P40225
P12830	Q15672
O14908	P31431
P68104	Q9NPD3
P01111	Q01201
A6NIJ9	P38405
406991	P78504
P61201	Q9UK53
P01308	P28482
P61769	Q15306
O14610	P53778
P49792	Q9Y613
Q8N1I0	Q9H4E5
P24385	Q13547
P29597	P42224
Q15834	Q9Y3A3
O60437	P08670
P11142	Q13535
Q71UI9	Q9UQL6
P38646	Q9H9G7
O75970	O95477
P18621	P62910
P19793	P60763
P17612	P50151
O15524	P08887
P20226	Q15572
O15520	P35968
Q9UBC5	Q9Y5J5
P09211	P16871
Q16695	Q9UHJ3
Q15653	Q9H9Y6
O00505	P12956
Q01581	Q14164
P01106	Q12983
406991	P37173
Q96MT3	Q9ULK5
P12110	P16070
O14974	O75116
O60739	P13693
O75578	Q9UKX5
P02458	Q96JB6
Q93062	Q96SI9
P15498	P62834
P35222	Q9NPG1
P16871	Q9UBD9
P04629	Q9Y6I3
O75940	Q96JB5
P42574	Q15185
P14314	P16104
574484	P15692
P54257	Q9H7E9
P63096	Q9UK08
P01857	Q9UL42
Q969Q6	Q9Y243
P21453	Q03135
P10828	Q8WYR1
P15170	P62330
O43561	P29350
Q92979	Q93015
P49841	P61960
P12268	Q9NRR5
P24941	P62877
P17612	P61952
406891	O00206
P18054	Q96RU8
P21860	P49798
P01106	P61619
Q12778	Q13309
P60866	Q9Y6K9
P61981	Q9UMS4
P01100	P49913
P14060	Q53ET0
P16070	Q14031
O75925	Q15797
P10276	Q6GMV2
O15160	Q15653
O75530	Q9GZQ8
O75586	Q9BWU1
P26006	Q9HBI0
P38398	Q04206
P63218	Q00722
P09471	Q9UBS5
P16220	P78406
P22694	Q16539
P09912	P42224
P04637	P17643
P50613	Q14103
Q13315	Q86UW7
O95297	P25189
Q8IXI1	Q9Y3M8
O60287	P16333
P57088	Q9BUV8
P35221	Q13363
P07437	Q9BZW7
P48443	Q03181
P01889	Q9Y277
P23919	Q99459
P35269	P35548
P06396	Q9Y2I7
P53355	P84022
P05161	Q9UMW8
P51817	P62879
P62136	Q96GD4
P11021	P20333
Q92905	Q9BXL7
P63146	Q9HAW4
P16333	Q9NZM4
P04049	Q13976
P13805	Q99963
P01833	P09341
O95990	Q13137
P11279	P51149
Q13797	Q8IZC6
Q9UEW8	Q9Y376
Q13315	Q9HAW4
Q8IXJ6	Q99623
P08670	Q9BZW7
Q15788	Q8IWT3
P51965	Q96P09
P24864	Q14186
P10275	P13056
P49792	Q96HA1
O15239	Q9P0J0
O95801	Q13428
P20073	P54252
P12004	P12956
P61978	Q00987
O43707	Q99759
P60880	Q12846
P13569	Q8WWI1
Q92956	Q9UBB4
P42685	P60484
O43837	Q15286
Q9BQ83	Q9Y3F4
P61077	Q96FW1
Q9NXS2	Q9Y478
P12757	P12956
P45984	Q9UQF2
P00533	P49767
O15143	O15144
P01106	P36955
P42684	Q70E73
P55212	Q15750
P05388	P62906
P10767	P29317
P62330	Q14651
554210	Q9UJM3
O75319	Q16629
P35080	Q9NTX7
Q8WVZ9	Q9H761
Q14498	Q92731
O60641	Q13233
P15927	P24941
P01889	Q9UM73
P04626	Q8TEW6
P11362	P11487
P08648	P24821
P31942	Q9Y6E0
Q92985	Q9UHD2
P08173	Q9UK08
P06756	Q8N3E9
Q9NRX1	Q9Y4K3
O14939	P43405
P04083	P05787
P30281	P36542
Q13133	Q15788
P04222	P09960
406957	Q9NRR4
P17612	Q13972
P08729	P62316
O95251	Q8WZ19
Q14194	Q15714
O75582	Q15910
P62993	P68371
Q5VVX9	Q86UW7
Q92731	Q9HBH9
P16333	Q9Y4K4
P08476	P61812
P04626	Q9UQC2
O43318	Q01658
Q9BTE0	Q9P2H0
P78406	Q9GZR7
Q15797	Q8WUD1
P01308	Q9BRA2
O15524	P18146
P22612	P35498
P55212	Q14980
O75400	O75478
P61081	Q86XK2
O94782	Q8TAF3
Q13315	Q9UJX2
Q14653	Q92793
Q15759	Q16690
Q14781	Q8IXK0
O43711	P61421
P17213	P17947
O15524	P52735
P15153	Q9H0H5
P15407	P22415
Q99594	Q9UJU2
Q13131	Q96A54
Q96LZ3	Q9NYG5
P01106	P08195
Q00722	Q9UBI6
P27540	Q9UNQ0
O96020	Q9UJX6
O43586	Q9UBS9
P52630	Q09472
O43915	P16234
Q9NZ45	Q9Y478
Q13315	Q9Y4K3
P03886	Q9Y6M9
P52756	Q8IX12
P20338	Q9UJ41
Q14CB8	Q96SN8
Q15147	Q9ULW2
P11940	Q9UPQ9
O43707	P29274
O14818	P25789
P28223	P30679
O76015	P61981
P10809	P13073
O95433	Q9Y5J5
P35626	Q8NH70
O15105	P36897
P0CG48	P54252
P23634	Q12959
O60353	P56704
P38646	Q9NYJ8
P68431	Q8TEK3
Q8WXD9	Q9UM73
P18084	Q14766
Q03013	Q13432
P19438	Q00325
P38405	Q8NGX9
P00533	P18031
Q96HA7	Q9Y2Z0
O60306	Q9BWF3
P25024	Q16627
O94913	Q13573
Q96KB5	Q9Y6X8
P49768	Q99466
P42574	Q04206
P57735	Q9Y2B9
O96013	Q14155
P28482	Q8IVT5
P13498	Q15080
Q2NKX8	Q8TDY2
Q00169	Q15126
P21675	P62807
O75716	P26441
P48549	P63211
P06729	Q96B97
Q92900	Q9NR19
P78527	Q8WY36
P49815	Q9NX09
Q8TB61	Q9ULC4
P02686	Q96KB5
P49366	Q9GZV4
P04839	Q02556
O95347	P01891
P50539	P56537
O00238	Q13145
P04150	P04234
Q93062	Q9BRR9
P78545	Q9NZC4
Q05516	Q92769
P09327	P62714
O95391	P16220
P22612	Q70SY1
P67809	Q13242
P46379	Q969H8
P38405	Q8NGU2
P05107	Q15762
Q96QV1	Q9Y4K3
P01242	P10912
P00519	Q15427
P10827	P24468
P05067	P23142
P62266	P62854
P49711	P67809
O60216	Q8N3U4
P11387	Q9UGN5
P01106	Q9UIL8
O95747	P36897
Q13643	Q96RN5
P61218	Q9Y250
P52333	Q6UXL0
O60506	Q00839
P27635	P62899
P25116	P63215
P43146	P62906
P35222	Q9Y3R0
P08670	P41219
P48039	Q13151
Q02790	Q9UBE0
P10912	P25208
P02788	P49716
P05556	P60709
P52564	Q16584
P26641	Q9HC52
P46109	Q9HB21
P28482	P53816
O76070	Q9Y675
Q9HC29	Q9NPP4
Q16548	Q9BXH1
O75928	P43358
P29474	P31751
P67870	Q16625
P07942	Q5VTD9
Q13315	Q96Q89
P17302	Q03135
5512	Q13522
Q01658	Q92831
Q13107	Q13625
O15239	P03915
O15264	P62714
Q13291	Q99704
P05388	Q9H4L4
Q9P253	Q9UNK0
Q13330	Q8WXI9
Q3ZCM7	Q92974
O95166	Q8WXU2
P27348	P42338
O43791	O95197
P49207	P62424
P00533	P14210
P42680	P52735
P18084	Q9Y4G6
Q7Z2G1	Q9BY41
P43360	Q53HC9
P09619	P53618
O75821	O95831
P51817	P62955
P62993	Q96D71
P12109	P18084
Q5D1E8	Q9Y297
Q969D9	Q99062
P04049	P27361
P67870	Q13216
P0C1H6	Q16777
Q13233	Q9Y243
P49715	Q9NR96
P60709	Q13155
P06241	Q9ULH1
P46777	Q99558
Q9H1K0	Q9H4M9
P27361	Q13480
P42345	Q96B36
Q00839	Q16629
A4D0S4	P18564
P00519	Q969W1
P46776	Q9Y3U8
Q13573	Q9UKF6
O14933	Q9C040
O95163	Q93008
406951	P35226
P04406	Q9UN74
P00367	Q99558
P38398	Q86YC2
P05129	Q9UKL4
P31749	Q15173
P01116	Q96PV0
P19438	Q06124
P37231	Q92793
P42336	P63215
P38405	Q8NG95
Q13033	Q9Y228
P20591	Q9Y210
O14645	Q9NX70
P26651	P31947
P40238	Q9HBE4
P18564	P20908
Q09470	Q9NRR5
O00148	Q9UKV8
P01241	Q96FW1
Q16666	Q86WV6
P18146	Q9NQX7
Q99750	Q9NUU7
P28335	P50148
P09874	P16403
P17844	Q9BWF3
P49863	P61978
P07550	P63092
P25105	P49407
O00193	P21246
P20645	P98164
O75928	P63279
P30086	Q9Y4K3
O15260	Q9BUV8
P28221	P28222
P61981	Q9UJ41
P32456	P51114
P08581	Q9Y4K3
P38919	Q86V81
Q15648	Q6P2C8
Q16254	Q9P0M9
Q9BZ29	Q9H4E5
P62324	Q9UFF9
Q04864	Q13451
P0C0S5	Q93079
O95400	Q8IUR6
P42766	P46778
P07900	Q9GZX7
O14638	P62993
O95500	P56856
Q14061	Q9BW62
P39023	P46779
P62273	P62857
O60566	Q9NYG5
P0C5Z0	Q92769
O75083	Q15477
Q00987	Q9UM73
P05014	Q969J5
P05771	Q9BZL6
P12956	P63104
P13236	P51679
O95644	Q05215
O75528	P61964
P09919	P49715
O00327	P55854
P38646	Q9Y2C9
P02458	Q14050
Q96HC4	Q9UBQ5
Q96KM6	Q96TA1
Q01844	Q9Y2I6
P53350	Q9BV68
P20073	Q15047
P56199	Q9Y490
P16520	P45984
O43674	O96000
O43741	Q96B36
Q99729	Q9GZS1
P23508	P30085
P05000	P48357
O95208	P08581
P50914	P61927
P23246	Q15653
P26006	Q05397
P04075	P63104
P35658	Q13485
P09471	Q92806
O43768	P10114
P05113	P10912
P17301	Q14031
O00463	P42336
Q76N89	Q9H469
Q08345	Q96DI7
P05107	P61224
P23297	P26678
O95782	Q9Y6I3
P53618	Q02156
P36871	Q13153
Q15139	Q96A00
P10809	Q9UM73
P01106	Q01085
Q9BZZ5	Q9UKV3
P53778	Q06413
Q9P286	Q9UBI6
P22301	Q6UXL0
Q96EK5	Q96S99
O00273	Q13315
Q13573	Q9Y265
O00755	O75084
O95989	P62917
O00459	P07332
Q9H013	Q9NYB9
P53779	Q8WZA2
Q9UMR2	Q9Y2U9
P63104	Q9BSJ8
Q03135	Q14254
O43543	Q92698
P28702	Q07869
Q9BQE3	Q9BUF5
P09661	P30480
P05814	P60953
O60711	P10275
406976	O14920
P09471	P24530
P02452	Q9NPY3
P27708	Q99759
P01589	P15976
P30154	P37173
P63000	Q9H7D0
Q14194	Q9NQC3
P00519	Q9NZQ3
P57088	Q99608
O60262	P30939
P83881	Q92901
P31943	P61978
O00257	P12757
O75508	Q9Y5I7
P43250	P46092
P16234	Q9H201
P63104	Q6PKG0
Q08AM6	Q92562
P19174	Q8TEW0
Q13464	Q9BUA6
PI3KR1	PI3KR2
O00716	P38936
P61981	Q14525
P31947	Q9H1Y0
P01106	P25788
P78417	Q9P2H0
P12931	Q16832
P36406	P63279
P49756	Q00005
P42704	P78396
Q13522	Q9UD71
P38405	Q8NH54
P35626	Q8NH56
O43318	Q15910
P63279	Q14164
Q02641	Q15172
P00374	Q15388
P51955	Q16891
O95990	P08670
Q13315	Q6STE5
P01242	P31785
Q13889	Q92759
A8MT69	Q8NB91
P10276	P50120
O00571	Q9Y572
P35408	Q5JWF2
P35544	P46782
P18146	Q9BW85
P09919	P16471
407040	P38936
P50150	Q14831
O15371	P20042
P23763	P61266
P49321	Q05397
O43684	Q9UKE5
P05386	Q9UK32
O75914	Q9HBH0
Q9GZT8	Q9NRG1
P35754	Q99683
O43242	O75832
P18146	Q15415
P15374	Q15797
P42336	Q6ZUJ8
406991	Q9NRR4
P35606	Q13573
O15228	P11473
P48736	Q13191
O14775	Q92569
P08069	Q15147
Q9NP79	Q9UI14
O43524	P67775
O95837	P22888
O75925	P10275
P06899	Q8WUI4
O00744	Q13467
Q13936	Q9NPA1
P48736	Q9Y4H2
P05231	Q13261
Q7Z7J5	Q96CW1
P49720	Q9Y478
P09919	Q9HC73
Q13315	Q6ZW49
P04632	P36575
P16471	P20809
P01303	Q8TDS4
P22392	Q9HB71
Q08043	Q96QZ7
O00267	P21580
P62424	P84098
P32121	Q8NH70
P04637	Q16637
P14859	P51948
P47712	Q14790
O15111	P42345
P02786	P61769
P23458	P42338
P35398	Q9Y265
P06748	Q10570
P56537	Q9UH03
P07498	Q16531
Q13114	Q9Y5U5
P31948	Q9P2S5
O15394	P32004
P03928	Q9BY11
P63279	Q05516
P16671	P54619
P07737	P63267
O60603	Q9Y2C9
P26599	Q05519
P0C0S5	Q9BSM1
P54136	Q99558
P13232	P42701
P30050	P35268
P35498	Q9UBI6
P19235	P27986
O15371	Q13347
Q13683	Q16787
P22612	Q93100
P50851	P55157
P46940	Q9UBN6
P01138	Q16620
P18124	P83881
P35609	Q01668
Q01196	Q92793
P27635	Q02543
Q14674	Q8NDV3
P42701	Q9UHD0
P14672	P54619
Q13387	Q9Y4W6
P00533	P42858
