#node1	node2
Q15811	Q8TAQ2
Q5T0N5	Q9Y4D1
P12931	Q07960
P08670	P20823
P09544	Q13467
P19438	Q13233
P14784	Q14765
P05141	Q9Y6K9
P52272	Q92844
O14920	P15509
P11274	Q00610
P49841	Q12968
P09172	Q15811
O15085	O95433
P01241	P42702
O14980	Q14653
P54253	Q9NRX4
P29597	Q14765
P26010	Q92752
O75159	Q15370
407050	Q16827
P08069	P55075
O00237	O75800
O75604	Q96ED9
O95471	Q15672
P02768	Q13315
O75030	P28482
Q14164	Q6XUX3
P10721	Q9H0M0
P18124	P62899
P40692	Q16254
Q10570	Q15366
Q04206	Q9Y2U5
P0CG48	P63000
P04156	P68400
O75525	P61978
P31943	Q14164
P33991	Q9Y2Q3
Q8N257	Q8WUI4
Q99879	Q9Y5B9
P46092	Q9H2A7
O95059	O95785
P54136	Q15287
P62829	P62917
P15813	P27824
P06454	P24941
O15264	Q05923
P60709	Q96QU8
P25024	Q9Y258
P04899	P28222
P04150	P47712
P01579	Q14627
P02774	Q5T3J3
P12980	Q9H7Z6
O00221	P78527
O43670	P18146
P16234	Q07889
P23508	Q14566
P62807	Q96KK5
Q92922	Q9UBP5
Q12933	Q9NR28
407035	Q9BZS1
442894	Q9H3D4
P98174	Q14161
P08581	Q9NRA1
P49069	Q9Y4K3
P30305	Q16539
P03372	P36873
P40189	Q13191
P37231	P51608
O60894	Q5JWF2
P27361	Q3MJ16
P41182	Q9HBW0
P62314	Q92993
O43294	O95425
P49593	Q13131
O00625	Q12857
Q14498	Q8N5F7
Q969T4	Q9P0P0
P54652	Q99759
P57678	Q13573
P09038	P67870
Q13098	Q9HA65
O75159	Q99062
Q8TEW0	Q96NY8
P12931	Q13761
P50148	Q86XP0
Q96FF9	Q9UQE7
Q02078	Q16539
P51817	Q8NER1
Q9HAV0	Q9UBS5
P61586	Q8N1I0
O14788	Q9NYL9
Q14209	Q15021
P12004	P23508
O15264	P12318
P04070	P12259
Q5VWK5	Q9HBE4
P30273	Q06547
P53779	P60763
Q12974	Q8NE01
Q15084	Q86YB8
P16234	Q9NP95
P06493	Q96JB5
P49336	P50750
P14635	P49815
Q9NRL2	Q9UIG0
P62888	P63173
P49279	Q15717
P62906	P62910
P35626	Q8NGQ6
P38405	Q8WZ92
P51159	Q5T3J3
O15264	P28324
Q16539	Q9Y6N7
Q8IXM3	Q9BWH2
P51114	Q7L576
Q9BZE9	Q9H814
P62993	Q99877
P29474	Q13557
P35626	Q8NGE0
Q8WXF7	Q9NQC3
P63167	Q9Y3A3
P07332	P20936
P04839	P14598
O15230	Q14118
O95831	Q9Y572
P01241	P14784
P12814	Q86UL8
O43237	P68363
A2IXV5	P12314
O14508	Q14765
P82650	Q9UBC1
P11021	P49286
P22607	P55075
O15360	Q8WXE1
P58107	Q6WCQ1
P15880	P46781
P11229	Q9HAV0
P45984	Q14653
P16070	P50281
P59768	Q00722
O75925	Q14526
P12830	P24941
O15105	Q9H0M0
P39023	P61513
O43541	Q9Y3F4
P50591	Q15628
O14497	P51532
P01889	P55209
P04628	Q13330
O76080	Q15008
P02545	P06493
O95757	P05787
O43837	P51553
693122	Q13315
P34969	Q9HAV0
P29460	P42702
P18065	Q9C086
P19174	Q92831
P15880	P62277
P20339	Q01968
P28482	Q8N122
Q92845	Q9UQE7
P05412	P37173
P16234	P21781
P17948	Q9Y6I3
O75410	Q13535
O15084	P53350
O95398	P45984
O00175	P51685
O00471	Q9Y678
P18146	Q96BK5
P08670	Q9BVJ6
P29353	Q16288
P62807	Q7L7L0
O94776	Q13535
P62979	Q9Y2H0
P08069	Q01995
O75365	P52272
P40337	Q04724
P17405	P55210
O60739	Q16658
P20333	P50539
P68133	Q9Y230
P17693	P26715
P22681	Q96B97
P20936	P62070
P12956	Q9H9Q4
O94906	Q96DI7
P01024	P05107
Q8IYM9	Q9P2R6
Q13547	Q16576
P27037	Q8NER5
P48357	Q8IZI9
P53999	P68400
P56915	Q9Y261
Q13952	Q15633
P04637	Q15172
P47900	P50148
P36382	Q9Y312
Q15834	Q9BSW7
O95197	P43378
P01106	Q13105
Q969Q1	Q9Y692
P54257	Q14055
Q09472	Q8N726
P11940	Q9NZC7
Q99728	Q9Y2X7
P27986	Q9NRJ4
O43521	Q96QB1
Q13526	Q15233
P16871	P60660
Q15545	Q9GZQ8
Q8TDR0	Q9UPV9
O60391	P22694
Q9HD15	Q9NRR5
P49683	Q9Y3R0
P46379	Q15714
P30153	Q4G163
P62807	Q9UBL3
Q13315	Q9UJZ1
P16104	Q9H0E9
P84022	Q13547
Q00839	Q14103
P02751	P06756
P16066	Q5JWF2
Q14573	Q9Y6F6
P62333	Q13573
P17980	Q99460
O75052	Q16849
Q14934	Q16539
O95782	Q9Y4K3
Q7L523	Q9HB90
O43741	P04637
O60674	P29353
P46379	Q13535
O60749	Q96RU3
O15467	P61073
Q15257	Q99832
P42345	Q14318
O14497	O94805
P18146	Q5T5Y3
P04141	Q08334
A0JLT2	P49336
P09651	Q9Y3C6
Q15834	Q9HC98
P51965	Q9P0P0
P18847	P58012
P27487	P48061
P02768	P10124
P68133	Q8NHR9
P51617	Q15306
Q8IWE5	Q9H0B6
P16104	Q13547
407035	P61586
P42679	Q16288
O15021	Q13315
P51955	Q14240
O43353	P04406
P61812	Q9NNX6
O60262	O75899
P20226	P26367
O75925	P52952
Q8TD19	Q9H0R8
Q13554	Q96BA8
Q13573	Q14966
P51149	Q15014
O14936	P41134
Q6VMQ6	Q9H4L4
P68366	P68371
Q7L0Q8	Q9P107
P27482	P62140
O15379	Q71UI9
P35268	Q99558
O95622	P27482
O43597	P55055
P20338	Q9UJ41
P20073	Q5RL73
Q15916	Q6VMQ6
Q12841	Q92624
P26639	Q15843
P34969	P63211
O96006	P51606
P42830	P51679
O14640	P46531
P08581	P26045
P27986	P52198
O15553	Q96P20
P62834	Q9BZL6
P51816	P62993
A6NEW6	O76070
P62875	Q8N7H5
P13693	Q9UNH7
P46937	Q13625
P42224	Q66LE6
Q9H936	Q9P2S5
P46937	P63279
O14727	Q01094
Q9NZH5	Q9UJX2
P26441	Q5VWK5
P67775	Q9Y243
P18621	P84098
O14625	P25024
P17612	P19634
O14901	Q504Q3
O14974	Q13315
P48039	Q9UK08
Q9HBW0	Q9UK08
P26927	Q7L9L4
O75446	P09455
Q13573	Q15459
P31947	Q9P0V3
P62993	Q9UJM3
O75376	Q86T24
P0CAP1	Q9NZD4
O94875	P42684
P27986	P29353
O15360	Q68CP9
P25025	P48061
P17066	Q04864
P20226	Q9Y6Q9
Q8IWL3	Q8NFJ9
Q13233	Q16539
P55157	Q8TEW0
Q01344	Q9ULV8
P01730	P06340
Q9BSF8	Q9UKV3
P31947	P61587
P60953	Q15311
P51148	Q9H223
P22001	Q12959
P22557	P62993
P48556	Q9UNM6
O14770	O14964
P05783	P46940
P08620	P21802
P61964	Q15291
P0CG48	P55072
Q15393	Q99717
O14964	P35240
P06493	Q16254
P26599	P35637
O14543	P15509
Q96JC9	Q9NV56
P0C0S5	P46736
P16581	P31269
Q96FX2	Q9UGK8
P52735	Q06124
O75385	Q14694
P04637	Q16539
P07305	Q8NC60
P26010	Q9HBI0
P31749	P42336
O00626	P46092
P14921	P28069
P26599	Q07955
Q14055	Q99689
P48736	P50993
406907	P24941
P09936	Q9Y4K3
P10720	P46092
P48023	Q96RU3
P16220	Q8N468
Q9H8E8	Q9NRF9
Q7LDG7	Q86XP0
P01106	P46939
P25098	P30086
Q9GZY6	Q9NRR5
P12235	Q9Y277
P19338	Q13464
P36406	Q9Y6K9
O94805	P06400
P17844	P29350
P19438	Q99558
P12314	P22681
P53365	P62330
P08670	P84022
P62993	Q13813
P61218	Q9BTT4
P32121	Q8NGX8
P53779	P59768
O75817	P63162
O14492	P09619
Q13315	Q96R06
P62304	Q9Y4Z0
Q14691	Q9Y248
O95400	Q15427
P35626	Q8NGF6
O00217	P17568
P51684	Q8NHW4
Q92956	Q9H1Q7
P16234	P98077
Q05639	Q9Y4K3
P15927	Q9H9A7
Q16851	Q9UHX1
Q04637	Q13283
P21333	P27986
P60891	Q9H8Y8
O75925	P63165
Q06609	Q92878
Q6FI13	Q9UQL6
O00305	Q13557
P04216	Q9NRY4
O60512	P21673
P01589	Q9UBD9
P11142	P49407
Q7L2E3	Q9BQG0
Q16539	Q6IN85
Q16537	Q5FBB7
O96017	Q9Y248
O75116	Q7Z406
O75914	Q9HBH0
O94979	O95486
Q15714	Q96S59
Q14209	Q15910
P49368	P52735
B5ME19	P20042
Q9H0R8	Q9UPU7
P45984	Q16829
P06850	P24387
P55854	Q96AQ6
P63279	Q719H9
P27635	P62993
Q92574	Q9NX09
Q96GQ7	Q96I34
P09497	P53680
P46531	Q8N9I9
P08754	P29474
P43246	Q16254
O14653	O75396
O15516	P56645
P08754	P61952
Q8NEA9	Q9UEU5
Q8TBB1	Q96KQ7
P04216	Q13017
O75578	Q08043
Q96H86	Q99750
P10827	Q15596
P02452	P56199
Q9NP77	Q9P2I0
P07602	P49281
P24723	Q86YW0
P32456	Q12972
P27540	Q8IUM7
P24844	P35580
P62879	Q8TCU6
P10275	P11182
P24941	Q13309
O76061	Q8TER5
P53778	P62714
P28482	Q9HBH9
P55795	Q6P2Q9
Q15019	Q16181
P50402	Q9ULX6
Q5QNW6	Q9BY41
P01589	P15884
P20701	Q9Y4G6
P09471	Q08462
P04637	P21675
P17693	Q13241
Q15797	Q9Y466
O00231	Q9UKY1
P05230	Q07890
P15498	P19174
P11388	Q9H3D4
P07359	Q9NPF4
P46778	P49207
P10124	Q6UXH1
Q02388	Q8TBC3
P16220	Q8N3C0
O14656	Q9P003
P16871	Q9NY65
P05362	P0CG48
Q06455	Q9UPN9
O75448	Q9NPJ6
P07237	P16104
O95007	P32121
P08754	P48736
P40225	Q99665
P17612	Q01814
P01106	Q96HQ2
P17066	Q00653
P04629	P35222
P10145	P25024
P47898	P63218
P12931	Q14118
P01133	P62993
Q8TB96	Q9BPY3
Q14332	Q9H1J5
Q13136	Q15596
O75962	Q13867
Q92765	Q9GZT5
P08069	P12034
P51449	P62195
O95999	P58876
P04049	P23458
P06127	P20936
P21246	Q9H8M9
P01241	P07741
P12956	P41220
P27986	Q9UKW4
P53779	P99999
P35968	P40763
P60880	Q12846
O15379	Q9NYJ8
P26006	P63261
P31150	Q969Q5
O00303	Q7L2H7
P05549	P63279
P01112	Q14644
P18077	P62987
P0C0S5	P68431
Q13616	Q8TCJ0
P38405	Q8NH64
O75800	Q13064
P41182	Q9BXS1
P24928	P50750
Q01082	Q13485
P57088	Q14164
P07900	Q02790
Q06323	Q99460
P49454	Q13315
P45983	P55957
O60232	Q13315
P31277	Q05516
O95747	Q96J92
P51817	Q9Y691
A6NIT4	Q01344
P19174	Q9UN19
P36897	Q9UJX4
P51808	Q96BS2
P20073	Q9P283
P04183	Q14240
P08758	P63261
O15117	O75563
P14151	Q12778
P21802	Q9HCT0
Q969T4	Q9Y679
P17844	Q92841
P51654	P56706
P42338	P62873
O15162	Q8WWR8
P27361	Q14790
P23246	Q13882
O15514	Q9GZS3
O95782	P35659
P36873	Q92736
P54253	Q96RK0
P51671	P60174
O43676	O95178
P24522	Q12778
P07948	P29353
O00273	Q9NWF9
Q07020	Q16186
P30153	P67775
P40763	Q14765
P01106	Q6STE5
Q99962	Q9ULH1
P18146	Q9ULZ2
P05771	Q9NQ66
P25786	Q9UNM6
P62993	Q96KQ7
P24530	Q03113
P23528	P57058
Q16659	Q5VX71
P05129	Q9GZQ8
P35251	Q9UJX2
P06241	Q13291
Q99708	Q9UKT9
O00329	P29597
P16104	Q15257
P25940	P26006
O15169	Q14194
P01562	P42702
P16591	P46459
P18146	Q9BUN5
P31751	Q13370
O00459	P30273
Q96A08	Q9BTM1
P47992	P49682
O14610	P17612
P35626	Q8NH41
Q15370	Q92830
Q15428	Q9UQ35
P15498	P19235
O60381	P18146
P54619	Q9UGJ0
Q15750	Q9H4K7
O60729	Q9H1A4
P57739	Q9UDY2
O94817	P07814
Q13432	Q96SN7
407055	P42345
Q58FF8	Q9Y243
P15408	P17544
P08962	P12931
O14727	P99999
P09493	Q9BQD3
P26678	P62136
P07900	P16104
P26599	P61978
Q96LC9	Q9HD36
Q14197	Q5T653
P51149	P61020
P38405	Q8NGW6
P63218	Q13698
O00483	O15239
P62805	Q9UBU8
O00255	Q15797
P51864	Q7L5N1
P49841	Q96HA7
P20248	Q09472
P06899	Q96QV6
O00268	Q16514
Q12933	Q9NQC7
P05129	P15056
P32298	P49238
P10644	Q8WTW4
P62750	Q9NX58
Q53H80	Q9NZD8
P58546	Q14164
Q16539	Q6PJG2
P41235	Q12955
O15031	O95754
P48552	Q92731
P34931	Q15653
P09429	Q15109
O15230	P11047
O14497	P62805
P19174	Q9UNH6
P09874	Q92547
P41743	P62714
Q8IY92	Q9C0C9
P05386	P62987
O60603	P16070
O75530	P46783
Q13332	Q9Y3A3
P12931	Q9UL51
Q68CJ9	Q9UQM7
O15534	P56645
P06239	P09326
P07949	Q14451
P01889	P43487
Q6FI13	Q9UKV0
O75478	Q92830
O43557	Q13114
Q15047	Q9Y4K4
O43374	Q9HDC9
P60763	Q7L576
P01023	P55001
Q9H0A0	Q9NX58
O15211	Q92993
P51617	Q9H1C4
P04080	Q96BK5
P01857	P55289
O43900	O95433
Q96RL1	Q99879
P30291	P61981
Q13137	Q5T5S1
P05771	P17302
Q2TAZ0	Q9Y484
O60566	P01106
P14672	P31749
P32121	Q8NGE7
P61586	Q96N67
O00574	P22362
P15924	Q14457
P35498	P63096
O43278	Q04756
O43927	P41597
P12931	Q9UKL4
O76093	P07333
Q92851	Q9Y6K9
O75581	Q2MKA7
P25940	P31431
P08047	P56645
Q8IXK0	Q96GD3
Q14520	Q9UGN5
Q15819	Q99496
P60763	Q86VI3
P08708	P63220
P25098	P35243
P36956	Q9UGJ0
P40429	P61313
O15379	P04908
O43734	Q13114
Q13588	Q92835
P35680	Q16836
P49321	Q9Y383
O43427	Q86YS7
P27361	P35354
P16870	Q14181
P16035	P43487
O94986	Q9Y2J2
P60953	P98171
O75531	P42166
Q9NP71	Q9UGJ0
406991	P29966
O75815	Q96AG4
P01106	Q9UHI6
Q96A08	Q9UBL3
P32121	Q8NGH9
P19525	Q15653
O00232	O00233
P45973	Q71DI3
P62263	Q9Y2S0
P06702	Q00005
O14641	Q9BXS5
Q8TDY2	Q9BXW4
P52756	P61978
O00459	Q9UK08
Q13557	Q92793
O60237	Q14005
Q13315	Q9NVU0
P07602	Q15796
P51946	Q13889
Q13651	Q9NPH9
P07948	P10721
406891	P52926
O14776	P62993
Q96JB5	Q9Y478
Q8TF46	Q9NQT5
P21673	Q9HBL7
P23396	P63220
Q13643	Q9BTD8
P61966	Q9ULC4
P04183	Q8WW35
O43639	P54259
P04637	Q14526
O94989	Q9H6J7
P01106	P43243
O14965	Q9Y297
O43809	Q16630
P60953	Q15642
P26718	Q29980
P19235	P29350
P84098	Q07020
O43639	Q9NQC3
O14561	O43676
O75800	Q9NZQ3
O43747	P84077
P22612	P60510
Q15149	Q9BZW7
P63165	Q9H0J9
O60285	Q14558
P51668	Q96EQ8
P68400	Q01892
P29320	P46108
P40145	P62158
A1A4S6	Q96L33
P62263	P62701
Q12905	Q14566
O14544	P01589
P0C869	P28482
O14920	Q7Z434
Q15714	Q8WWC4
Q16891	Q9H7E9
P68104	Q99558
Q8NC44	Q9P2H0
P10828	Q9NPJ6
P60983	P62993
P28749	Q9HC98
P08571	Q12841
P17612	Q9Y2B9
P22888	P63092
P23246	Q8WXF1
P13498	P35228
P53667	Q5VT25
Q01970	Q9UK08
P27816	Q13424
P04183	Q5RL73
P42701	Q13007
P04406	Q9Y490
O00168	P13637
P01106	P03372
P27986	Q86YH6
Q92765	Q9UP38
O43426	O94875
P09661	P11387
O95400	Q53GS9
P35240	Q8IX03
P06870	P08603
O60503	P55011
Q96CW5	Q96JB5
P12931	P23458
P61289	Q9BQ83
Q14103	Q16629
P15924	P60510
O43353	O95999
P06493	Q9H2G2
Q96MT8	Q9BQD3
O00254	P35030
Q16643	Q6WCQ1
P01857	P13647
P62140	Q96A00
P15531	P18146
P08700	P52333
P26368	Q9NVV9
P51003	Q86U42
O75955	O94875
Q99877	Q99878
P20674	P63279
P01106	P54886
O60739	P61923
P01569	Q99062
P00519	P08174
Q9NXS2	Q9Y478
P31947	P68400
Q9UQ26	Q9Y6V0
P12277	Q15750
P61923	Q13315
O60260	P41220
P17980	Q99814
O00220	Q96P48
P49841	Q9Y600
P02768	P06493
Q9C0C4	Q9ULL4
P00519	Q15139
O76021	P62633
P07333	P49767
51639	Q9Y5J5
P23508	Q6P1L8
O60907	Q9HB71
P62328	P63261
P58876	Q16777
Q04206	Q9Y2K7
Q12841	Q8WZ42
O43306	Q9HAV0
Q92614	Q9H4A6
Q13569	Q92793
P61626	Q9P2S5
P10914	P25774
P04179	Q14164
O95848	P04049
O60840	P06241
P29372	P61604
P06733	P16871
P40337	P61086
P68400	Q8IY92
Q96I34	Q9BTV5
P10275	Q9UM63
P78396	Q99741
Q09470	Q9NRR5
Q13616	Q9UK22
O15514	P24928
O76071	Q9NRZ9
O00330	Q01844
P40818	Q96FZ7
P04183	Q14141
P16870	P20382
P26373	P67870
Q7L5N1	Q99624
Q99613	Q9UL03
Q01130	Q14103
Q14627	Q86WN2
Q15172	Q8WXS5
P19235	P23458
P45983	Q13115
P32248	P78423
P08590	P12883
P48736	Q14457
Q13242	Q8IX12
P62987	Q07812
P45983	P63211
Q8IUE6	Q9BY41
Q8WW43	Q9UM47
O00255	P14136
P16144	P17301
P08514	P35609
P04637	Q04837
O60934	Q9H816
A6NHL2	P17302
P09496	Q14008
P12931	P14921
P11234	Q3MIN7
O75940	Q9NQ55
Q02224	Q96BD8
O75367	P62805
Q01082	Q6WCQ1
Q01814	Q12959
P62805	Q15672
Q14152	Q96I15
P68431	Q9BYW2
O15397	Q15628
Q14197	Q9Y277
Q8IUC6	Q9Y3B3
O60232	P04181
P10747	P46459
P14416	P16520
P01106	Q01973
P35227	Q9BSM1
P38405	P51828
O00329	P63244
Q13535	Q9NTI5
O43318	P19838
O43303	Q9HC77
O75530	Q9UBC3
P42331	Q92730
P60604	Q6ZNA4
P15260	Q9UHD0
O00422	Q6NXE6
P35222	P68400
P32248	Q9H2A7
P62993	Q15149
P10912	Q12913
Q01844	Q9NRR4
P41208	Q13569
O00762	P51965
P17612	Q16539
P18825	P29992
P30304	Q9UM11
P01889	Q15365
P31751	Q8WYR1
P35080	Q13123
P02452	P84022
Q15672	Q9UBK2
Q9BRD0	Q9Y388
Q13114	Q96CV9
P61247	Q99558
Q9NS23	Q9UER7
O00144	Q9Y6F9
O43172	Q07955
O75534	P30480
P32881	Q99650
P62993	Q96RD6
P08253	P53420
P48431	Q9H9S0
O43524	Q16539
O14907	Q15560
Q14197	Q96BP2
P61247	Q9UKV8
Q04206	Q99684
P26992	Q8IZI9
P01730	P09382
P30154	Q13522
O00187	P0C0L4
O14490	P46108
P16619	P51679
O96000	P03915
P98177	Q9UGI9
P41252	Q99759
P27635	P62899
P05387	P42766
Q08043	Q9UKX5
P49238	P78556
P61513	P62987
P35221	P63104
O15264	Q16690
O43295	Q7L0Q8
P36639	Q9HC36
P29317	P62993
P68366	Q9H4B7
P43243	Q9UKA9
P40337	Q13526
P12236	P22607
Q8WVM8	Q9UPT9
O75716	P49247
P07199	Q08050
O15516	P49841
P05067	P38405
P27986	P62316
P07814	P19532
P61604	Q9UET6
P11532	Q9Y4J8
P55795	P67809
Q12933	Q9NRA0
P43364	Q49A88
P10599	Q96BK5
Q8N806	Q9P0U4
O00585	P41597
P49720	P53350
P01579	P17181
P37231	P50613
P05000	Q8N6P7
P15498	P16885
O76093	P16234
O15198	Q15149
O00303	Q14152
P61077	Q86Y13
Q13111	Q99877
P01567	Q99062
Q9NRQ2	Q9NV56
O95273	Q9HCZ1
P30260	Q08209
O75815	Q8NC51
O75676	Q15759
O75529	Q9Y4A5
P03905	Q9Y6M9
Q14457	Q9Y371
O75197	O94907
Q13315	Q9Y2Y0
P63261	Q13352
P09341	P51684
O14950	P62136
Q13216	Q15560
P01106	Q9P1Z2
Q15758	Q9HC98
O15492	P04637
P11142	Q8N163
P53779	Q05923
P00519	P15498
A7MCY6	Q9Y6K9
Q14332	Q9NQ66
O14964	Q99698
P49792	Q5SRE5
Q02790	Q9NR46
P08833	Q12778
P45983	Q16539
P15586	P16333
Q8WV28	Q9UKW4
Q14181	Q9H8T0
P41743	P61224
P05141	P25963
P08754	Q9BXA5
P04637	P28562
P32121	Q8NGI4
P62318	P83369
P33993	Q9UBU7
O00206	P43405
P62277	P63220
P18146	P27361
P04628	Q9UP38
O60678	P61978
Q13315	Q8IYH5
Q92633	Q9UBI6
Q15020	Q15287
P06733	Q99816
P27361	Q04771
O75676	P68400
554210	Q96RT1
P07814	P41252
P01178	P16333
P68431	Q13029
P07101	P14416
P41159	Q6UXL0
Q06481	Q93074
P48594	Q15853
P48643	Q99570
P22607	P62993
Q14451	Q96N67
P49768	Q8WW43
P28482	Q9UKL4
Q99459	Q9Y5K5
Q15287	Q9Y3F4
P55789	Q99627
Q13614	Q9C0I1
P20827	Q15375
P50591	Q14790
P13521	Q9NS64
Q6P4R8	Q9H9F9
Q24JQ0	Q99750
O00161	Q6VEQ5
Q9NZH5	Q9UJX3
Q8WWF5	Q969T4
O43915	P00533
P49888	Q96ID5
P48454	Q8NHZ8
O00291	P46783
P14317	Q01518
O94842	Q96KM6
P31483	P99999
P12931	Q9BXN2
P38405	P47887
O75391	O95870
Q13617	Q15369
O14610	P40145
Q96SK3	Q99750
P11940	P63167
Q13643	Q8IXK0
P35968	Q9H0M0
O96000	Q9Y6M9
P55268	Q7L1I2
P42574	Q9NR09
O60437	P08670
P09619	Q92913
Q13557	Q8TD86
Q8IX12	Q9BUJ2
P09601	Q16236
P13232	P16871
P03372	Q9BTC8
O95831	Q8IX03
P57105	Q96BK5
Q8TAQ2	Q99759
P0C869	P19174
P62993	Q9UPX8
Q96KQ4	Q9Y2D9
P16220	P18850
P49682	P78423
P17612	Q70SY1
P05783	Q07889
P09651	P67809
P34931	Q00653
P49716	Q8N264
O15524	P14316
P63279	Q9Y620
Q9H4E5	Q9P2F6
P01567	Q14626
P14859	P42229
P35240	Q13177
Q96RT8	Q9NY65
Q99576	Q9H8W4
O00303	P01889
Q9BRQ0	Q9Y6J9
P03372	Q15717
O95298	P03897
P0C0S5	Q13619
O43278	Q96IP4
P32121	Q8NGM1
P51668	Q9HCM9
P84103	Q99590
Q6UW56	Q93052
P07360	P10643
O43295	P84095
Q07820	Q16665
O43900	P62993
O43281	O60504
Q96CS3	Q9UBV2
O75643	P11387
P09651	Q9Y572
P60709	Q99459
P00540	P08238
P78527	Q16254
P31947	Q9P0L2
P16615	P41143
Q13315	Q99728
P05111	P09529
Q86XI2	Q9HC98
P07858	P55957
P12270	Q9UKX7
O00463	P43489
A1L3X0	Q07869
P21246	Q9HC16
Q9BX70	Q9UKR5
P42566	Q13315
P07948	P55210
Q9C0E4	Q9NP73
Q13315	Q14157
O43426	P49418
P56706	Q9UP38
P02679	P05154
P12956	Q9NP87
P18124	P62917
P37231	Q13772
P04183	P14618
Q96AV8	Q9Y265
O15541	Q13435
P51965	Q9HCM9
P04626	P26045
O95415	P46977
P12956	Q14687
Q15797	Q9UF11
P35626	Q8NGE7
Q01844	Q9Y3F4
P12004	Q15233
Q92956	Q9HC36
P08620	P35916
P35222	Q9NP95
P10914	Q92985
O95182	Q86Y39
O95831	Q99759
P61077	Q6ZN04
P06858	Q9Y383
Q13145	Q9ULV1
P35080	P60709
Q8NHZ8	Q96DE5
P21675	Q01844
Q13315	Q9HCF6
P61313	P61927
Q96HF1	Q9H1J5
O15151	Q9UER7
P36873	Q9BQI3
O14807	Q96PV0
Q86V24	Q9Y478
O95858	P41220
O75167	P12931
O15379	P10145
O14818	P22392
P00533	Q14974
P00813	P27487
P30457	P30464
P07900	P63104
P48643	Q99459
P13569	P54619
Q13009	Q9NS23
P01892	P43628
P24043	Q9UKX5
O00585	Q9NPB9
P06239	P16410
Q13362	Q86US8
P11487	Q12951
O00165	Q04206
Q09028	Q9UJX2
Q96PM5	Q99613
A6NMZ7	P31431
P17612	Q8TCW9
Q8IYT8	Q9Y383
Q8NI60	Q9Y5V3
P05771	Q6R327
P17676	P28562
Q17RW2	Q9UKX5
P06730	Q9NRG4
O14602	Q13347
P46020	Q8TD86
P12236	P21281
P04637	Q9BRQ8
P0CG47	Q9UJM3
P24385	P42229
P16112	P23142
P25054	Q8NEY1
406881	Q9H9Z2
Q16649	Q96BA8
P01834	P01857
P18621	P61353
P55345	Q8N684
P15172	P40424
Q8IZ69	Q92569
P04792	Q99459
P57678	Q9UKV8
P62249	Q9Y5S9
P08631	P40189
O95400	Q12986
P19438	P58107
P55795	Q15365
Q6ZSY5	Q9Y243
P35222	Q13616
P10415	P28482
P04637	Q09472
Q13573	Q5RKV6
P55072	Q92956
P02766	P25713
Q13444	Q99962
P00519	Q9Y3Q4
P35225	Q9UHF4
P46779	Q96A57
P51965	Q9Y6M9
O00566	P62136
P17081	Q92608
P26641	P39748
P54646	Q9UGI9
P06401	Q16539
O15031	P63000
P84090	Q5RL73
P02686	P20916
O60716	Q99459
P49959	Q9BXW9
P01106	P55060
P01106	Q5VSG8
Q96BN2	Q9H0E3
O95271	Q96RU3
406947	O00622
P10914	P40306
P06241	Q13087
Q9HAW0	Q9UDX5
P50395	Q9H1Y0
B5ME19	O60739
O75554	Q15428
P45985	Q16539
P68104	Q15583
P30466	P43631
O15264	P51817
P42858	Q99570
Q12802	Q14161
P51878	Q14116
O95294	P62070
406947	Q14164
O94832	Q6WCQ1
P0CG48	Q9H8U3
P29597	P48736
P26951	P41159
P12757	Q16557
P08581	P22681
P16104	P33778
O15162	Q9NRY6
P08670	P35900
Q13547	Q99877
P61952	Q08462
Q8WXI2	Q9UKE5
P15692	P21802
P20701	Q9UKW4
O15379	P37231
P56537	Q9BZI7
P00533	Q9Y371
P45880	Q13530
Q12933	Q8N2X6
P01106	Q53HC0
P04156	Q05193
Q9BTT4	Q9ULK4
P36873	P62955
P17480	Q01105
P14174	Q9Y4K3
P07900	Q14318
O60262	Q92806
P16885	Q9UBK5
O14744	P85299
P41594	Q14957
P16389	P78352
P01562	P10914
P25440	Q13315
P46734	Q9NYJ8
Q9Y4K3	Q9Y616
O75460	P17861
P51572	Q9UKE5
Q15750	Q9Y4K3
P11171	P61604
P04626	P49765
P62837	Q9NXI6
P06493	Q9H0H5
Q13415	Q99459
P10747	P42338
Q12933	Q9UQC2
P04271	P31949
P36954	Q8N7H5
P11229	P84996
P35900	Q53FD0
P52565	Q96PU5
P40763	P98177
O75197	P56705
P41235	Q04721
Q03001	Q9NRI5
O60641	P32121
O15111	P14921
Q13148	Q13573
P04626	Q15303
Q8TD23	Q9Y4K3
P28222	P50150
P01106	Q9H583
P26599	Q99729
P01570	P16471
P05412	P62324
Q08397	Q9UBX5
Q13526	Q5T3J3
O15063	P01106
P06400	Q01892
P51668	Q68DV7
P49903	Q9UKR5
P05026	P27986
A0JLT2	P27707
O14543	P24394
P02647	P17931
407021	Q9Y6K1
P00533	Q9UKW4
Q07812	Q09472
P13569	P13987
Q9HAU4	Q9UJX4
P12980	P61964
P00533	Q9GZV9
P05388	P63104
P05556	P78509
P05155	P16581
P35222	Q9Y265
Q9UI95	Q9UM11
O15264	P50395
Q01081	Q15428
P18621	P61313
P07947	P10721
P01112	Q9UQM7
P08670	Q99759
P05231	Q05516
P03923	P56556
P53778	Q05397
P16220	P35680
P10720	P51684
Q96QV6	Q99877
P09919	Q14626
P10415	P53355
P33076	Q04206
Q12792	Q14164
